id,references,prediction,Average_ROUGE,Average_BERTScore,Difference
16,"[""#Person2# at first thinks #Person1#'s behaviour cruel but finally joins #Person1#."", ""#Person1# plans on playing a trick to others. #Person2# thinks it's cruel at first but then joins."", ""#Person1# is about to make a prank. #Person2# thinks it's cruel at first but then joins.""]","Two friends engage in a potentially offensive prank, causing a disagreement about their choice of fun.",0.06,0.8609,0.8009
24,"[""#Person1# is interviewing #Person2# about #Person2#'s ability and previous experience."", ""#Person1# asks #Person2# about #Person2#'s capacities and past working experience during an interview."", ""#Person1# asks #Person2# about #Person2#'s qualification for the job.""]","Person 2, an Automobile Designing graduate, has experience in understanding mechanical strength and corrosion resistance.",0.0486,0.8367,0.7881
255,"[""#Person1# and #Person2# are conjecturing who will get sacked based on other employees' performance and find that it might be themselves. #Person1# is so anxious as #Person1# needs to raise family but #Person2# will be happy to leave."", ""#Person1# and #Person2# talk about the company's upcoming downsizing and discuss who will get sacked. #Person1# is worried but #Person2# doesn't care."", ""#Person1# and #Person2# have rounds of conjectures of whom shall be fired due to the company's cutback and comes to the conclusion that they both have the biggest possibility. It drives #Person1# crazy but doesn't worry #Person2#.""]","Employees speculate about potential layoffs at their company, considering various colleagues' relationships with the boss.",0.0715,0.859,0.7876
48,"['#Person1# and #Person2# are talking about the low temperature at night, although spring has come.', '#Person1# and #Person2# agree that it still felt very cold in spring.', '#Person1# and #Person2# talk about the weather and how to keep warm.']","Despite spring's arrival, cold nights persist, causing discomfort indoors and outdoors.",0.0802,0.8653,0.785
67,"['#Person1# is driving #Person2# to an inn. They talk about their careers, ages, and where they was born.', '#Person1# drives #Person2# to an inn and they have a talk. #Person2# is 26 and had a business trip to China. #Person1# is 40 years old American.', '#Person1# drives #Person2# from the airport to an inn and they have a casual talk about themselves.']","A Mexican businesswoman, returning from China, converses with her American-Colombian taxi driver.",0.0722,0.8496,0.7774
140,"[""#Person1# calls #Person2# to tell him that she was wrong to get upset over nothing and tells #Person2# she is pregnant. #Person2# feels happy. They go to the doctor. #Person2# finds out the baby isn't his because he was away the first week of February at a training seminar."", ""#Person1# calls #Person2# to tell him that she was wrong to get upset over nothing and tells him that she's pregnant. They go to see the doctor. However, #Person2# finds out the baby isn't his because he was away the first week of February at a training seminar."", ""#Person1# apologises to #Person2# after the quarrel and tells #Person2# she's pregnant. #Person2# feels so happy and they decide to see the doctor. After the pregnancy test about the date, #Person2# finds that it is not his baby, because he was away the first week of February at a training seminar.""]","A couple reconciles, discovers a pregnancy, but the man realizes he's not the father due to timing.",0.0969,0.8666,0.7696
270,"[""Mr. Brown is interviewing #Person2# and they are talking over #Person2#'s salary."", 'Mr. Brown gives #Person2# a well-paying job offer.', 'Mr. Brown decides to hire #Person2# with a higher salary and other benefits.']","Person 2 currently earns 1,800 yuan monthly, but is offered 2,500 yuan monthly with weekends off and annual leave by Person 1.",0.0923,0.8545,0.7622
339,"['#Person1# and #Person2# are playing burning Questions.', ""#Person1# and #Person2# ask and answer each other's questions about love life and future in turn."", '#Person1# and #Person2# are asking each other some imaginary questions.']","Two friends discuss hypothetical situations, including dating, winning the lottery, and getting married.",0.0845,0.8455,0.761
283,"[""#Person2# wants to buy some clothes but #Person1#'s recommendation doesn't interest #Person2#."", '#Person1# gives #Person2# a few suggestions on clothes but none is taken.', ""#Person2# is not happy with #Person1#'s recommendeds.""]","#Person2# prefers a lighter dress for spring, choosing a white cotton one.",0.1145,0.8753,0.7607
485,"[""#Person1# and #Person2# ask about each other's recent situation."", '#Person1# asks about the things that took up #Person2#.', '#Person1# is busy while #Person2# is flexible.']","Two friends catch up, discuss their busy lives, and plan to talk later.",0.0926,0.8526,0.7599
