id,reference,prediction,ROUGE,BERTScore,Difference
10,Demande d'information sur une commande grands comptes. Transfert vers le service concerné.,Un représentant du Ministère des Affaires étrangères organise un séminaire à Paris et contacte la RATP pour obtenir des cartes de transport pour les participants.,0.0,0.7014,0.7014
135,Demande d'itinéraire gare de Drancy gare du Nord. Précision des explications suite à un précédent appel.,Un client confus sur l'interconnexion du RER B pour se rendre à Drancy est rassuré qu'il peut voyager directement depuis Bourg-la-Reine.,0.0455,0.7029,0.6575
29,Demande de renseignements sur l'achat de ticket pour des groupes scolaires. Transfert vers le service concerné.,Un représentant d'une association scolaire appelle pour comprendre la procédure de transport en commun pour les étudiants. L'agent propose une solution et transfère l'appel.,0.0851,0.7283,0.6432
68,appel erroné l'appelant ayant voulu joindre l'assurance maladie au 36 46 et ayant mal tapé le numéro,"Un client confond le service client de la RATP avec la Sécurité Sociale, concernant un problème de carte vitale aux Antilles.",0.0465,0.6603,0.6138
140,"aucun abonnement de la carte ImaginR par voie postale , seulement au guichet dans toutes les gares et stations",Un client a demandé un dossier Imagine+R par courrier. L'agent a expliqué que c'est impossible mais a fourni le numéro du service pour plus d'informations.,0.0417,0.6554,0.6138
58,"joindre la personne Ratp responsable des autorisations de prise de vue, communication de son numéro fixe et e-mail","Un client a appelé pour obtenir des informations de contact spécifiques, l'agent a fourni les informations nécessaires, résolvant le problème du client.",0.0851,0.6844,0.5993
32,circulation du T2,"Client s'informe sur le T+deux à Porte+de+Versailles. Agent confirme qu'il est en test, accessible après le 20 du mois. Problème résolu.",0.0645,0.6616,0.5971
171,"Demande de mise en relation avec le directeur de la ligne 86 pour une réclamation suite à un accident ""psychologique"". Transfert de l'appelante vers le service concerné.","Un client rapporte un incident psychologique causé par un chauffeur de bus épileptique, cherchant une résolution auprès du responsable de la ligne.",0.1538,0.7445,0.5907
105,itinéraire dans Paris centre avec sortie à la station de métro la plus proche d'une adresse donnée,Un client demande des directions pour se rendre à une adresse spécifique à Paris. L'agent fournit des informations détaillées sur le trajet en métro.,0.1277,0.7174,0.5897
20,Erreur d'appel. Appelant souhaitant joindre l'assurance maladie au 3646 et non la RATP au 3246.,"Un client confond le service client de la RATP avec la Sécurité Sociale, concernant un problème de carte vitale aux Antilles.",0.1,0.6887,0.5887
39,info sur l'existence d'un bus reliant le RER station Javel à une rue à Boulogne,"Un client demande comment se rendre à Boulogne-Billancourt depuis la station Javel sans métro. L'agent suggère le bus 72, résolvant le problème.",0.1429,0.7315,0.5886
168,Demande de renseignements au sujet d'une relance de paiement d'amende déjà réglée. Transfert vers le service concerné.,Une cliente confondue par une amende majorée malgré un paiement initial contacte un centre d'appel pour clarification et exprime sa frustration sur un rappel manqué.,0.1224,0.7098,0.5873
73,"demande d'infos sur numéro de PV, transfert au service central pour suite dialogue",Un client cherche le numéro d'infraction d'une amende non reçue. L'appel est transféré au centre de paiement RATP sans résolution finale.,0.1395,0.7234,0.5838
145,demande correspondance bus pour joindre sortie RER et une rue à Boulogne,"Un client demande comment se rendre à Boulogne-Billancourt depuis la station Javel sans métro. L'agent suggère le bus 72, résolvant le problème.",0.1053,0.6848,0.5796
193,"Demande d'informations pour commander des tickets pour une sortie scolaire. Tentative de mise en relation avec le service des grands comptes, mais service indisponible. Proposition de rappeler plus tard.",Un représentant scolaire commande 200 tickets de métro pour Paris. Des problèmes surviennent concernant le paiement à distance et l'obtention d'un tarif réduit.,0.1379,0.7145,0.5766
209,"navigo perdu puis retrouvé, devait expirer, peut-on le recharger, un courrier aurait dû être envoyé, simplement demander à un guichet, s'il n'avait pas été déclaré perdu",Une étudiante a appelé pour des informations sur le rechargement de son passe Navigo. L'agent a expliqué le processus et résolu son problème.,0.0727,0.6424,0.5697
163,Demande de correspondance en bus entre le RER et la rue Vauthier à Boulogne.,"Un client demande comment se rendre à Boulogne-Billancourt depuis la station Javel sans métro. L'agent suggère le bus 72, résolvant le problème.",0.15,0.7188,0.5688
54,"Demande d'information sur la tarification de la carte orange. Pas le bon service, appeler le 3246 pour être renseigné.",Un client appelle le mauvais service de la RATP pour des informations tarifaires. L'agent l'oriente vers le bon numéro. Problème non résolu.,0.1702,0.7383,0.5681
