TestID,Summary
test_0,"Person1 instructs Ms. Dawson to draft a memo banning Instant Messaging at work due to productivity concerns, despite potential client communication issues."
test_1,"Person1 advises Person2 on alternative transport methods to alleviate traffic issues, leading to Person2's decision to stop driving."
test_2,"Masha and Hero's surprising, amicable divorce is underway, with Masha gaining child custody."
test_3,"Person1 attends Brian's birthday, gifts him, dances, receives compliments, and they agree to share a drink."
test_4,"Person1 and Person2 tour the Olympic park and stadium, admiring its size, facilities, and visitor-friendly signs."
test_5,"Person1 plans to quit job and start a company, but reconsiders after understanding the complexities of writing a business plan."
test_6,"Person1 suspects Person2 has chickenpox due to their symptoms, causing panic due to Person1's lack of immunity."
test_7,"Person2 disputes a laundry charge at checkout; Person1 apologizes and rectifies the error, leaving Person2 satisfied."
test_8,"Person1 confesses infidelity to Steven, who agrees to help mend his marriage under the condition of future faithfulness."
test_9,"Person1 and Person2 admire Abraham Lincoln's honesty, perseverance, courage, vision, and humility in a discussion."
test_10,"Person1 warns Person2 about severe sandstorms in Hebei, China, causing respiratory infections."
test_11,"Person2 gifts Francis a coveted car model at his birthday party, increasing Francis's appreciation despite Person2's own attachment to it."
test_12,"Tony regrets cheating on a test, fears father's reaction, and vows to study harder after advice from friend Steven."
test_13,"Person1 rushes to catch a train after realizing the time, but Person2 assures they have enough time."
test_14,Person2 advises Person1 to improve lifestyle habits to enhance physical and mental wellbeing amidst life uncertainties.
test_15,"Person1 and Person2 plan to attend Ruojia's wedding party, bringing wineglasses, a card, and a tea set as gifts."
test_16,"Person1 convinces hesitant Person2 to join a potentially controversial activity, indicating a shift in Person2's attitude."
test_17,"Person1 asks about Mike's sister's looks and personality; Mike describes her as tall, attractive, and friendly but less intelligent."
test_18,Person1 has a mild fever; Person2 advises informing school via parents if sick again.
test_19,"Person1 assists Person2 in choosing a new mobile phone with a camera, MP3 player, and video call feature."
test_20,"Frank accepts a demanding Post Office job for its excellent health insurance benefits, covering his children's medical care."
test_21,"Person2 showcases programming, secretarial skills, and diverse office experience, aiming to secure a potential job."
test_22,"Person1 complained about overcooked steak, Person2 agreed to replace it despite potential wait, Person1 thanked for service."
test_23,"Tom wins the Nobel Prize for his novel, surprising and delighting him."
test_24,"Person2 defends their qualifications for a job, citing education in Automobile Designing, a science master's degree, and experience as a student engineer."
test_25,"Person1 and Person2 discuss their differing drinking habits and strategies, and plan to visit The Ram Bar and Grill."
test_26,"Mom and May plan a picnic, discussing food and essentials, but May declines Daniel's help fearing complications."
test_27,James and Muriel Douglas discuss their recent holidays while waiting for Susan Kim to join their business meeting.
test_28,"Person1 mistakenly transfers $10,000 to charity at an ATM, causing distress and triggering a security lockdown."
test_29,"Person2 confirms being sociable, values sincerity in professional communication."
test_30,"Mr. Polly expresses job dissatisfaction and desires a break, while Person1 suggests a soft drink but is hindered by their boss."
test_31,Monica and Francis scheduled a Friday afternoon meeting to review a crucial financial report.
test_32,"Person1 joins interview preparation workshop, discussing key considerations and the importance of honesty with workshop leader, Person2."
test_33,Director and actor disagree on character's emotional response to a breakup during film shooting.
test_34,"New neighbor visits Mrs. Todd, offers help with shopping, both express interest in maintaining friendly relations."
test_35,"Person1 advises overworked and tired Bill to rest, discusses his brother's business trip, and confirms meeting time."
test_36,"Cleo declines Simon's invitation to a nuclear disarmament protest, citing dislike for demonstrations, complexity of nuclear issues, and her upcoming physics exam."
test_37,"Person1 criticizes Person2's trust in strangers, prompting a debate about caution versus trustworthiness."
test_38,Mark borrows Maggie's notes due to his evening job affecting his focus in class; they agree to become study partners.
test_39,Junior student seeks to enroll in advanced geology course; professor to consult colleague about student's readiness.
test_40,"Person1 reports broken pendant to Person2, who agrees to replace it upon receipt presentation before 10 o'clock."
test_41,"Person1 seeks Person2's advice on clothes, but Person2, engrossed in a game, suggests Person1 return the clothes during Boxing Day sales."
test_42,"Person2 explores career options in media, rejecting TV and magazine roles, but shows interest in interactive media."
test_43,"At an event, Person1, a Daily News employee, tries to keep bored Person2 entertained quietly so they can focus on work."
test_44,"Person1 advises Sarah to consider moving to a cheaper, government-sold house in a community-oriented neighborhood to ease financial stress."
test_45,"Mark Leach, an information officer at Britain Business Center, provides tourist information to half a million annual visitors with his multilingual team."
test_46,"Lucy enjoys English and PE but struggles with Math, Lin Fang prefers Chinese and Science, while Nancy likes English and Math but dislikes Science."
test_47,"James helps Mrs. Thomas with chores and dog-walking due to her broken leg, while saving for a bike."
test_48,"Person1 and Person2 discuss adjusting to spring's fluctuating temperatures, using sunlight and air conditioning for warmth."
test_49,Director and actor disagree on character's emotional response to a breakup during film shooting.
test_50,"Person1 urgently took a taxi to Friendship Hotel, paid 20 yuan for a 15 yuan fare, thanking the driver for quick service."
test_51,"Person1, out of money, seeks help for bus fare from Person2, who suggests a free transfer."
test_52,"Person1 learns about travel time, local companies, their company's office space, and the presence of a staff restaurant."
test_53,"Person1 reveals Lulu and Vic's secret relationship and subsequent breakup, surprising Person2."
test_54,"Dave called Sally for Jim, who was out buying paint, possibly at the pub, and left a message for him."
test_55,Person1 asked for and received directions to City Hall from Person2 after some initial confusion.
test_56,"Person1 loses passport in store, Person2 advises reporting loss and contacting embassy for replacement."
test_57,"Nathaniel reschedules his missed call with Ms. Collins to an appointment with Ms. Fonda at 11:30 AM, facilitated by Leah."
test_58,Person1 and Person2 express shock and confusion over Sarah's decision to marry unfaithful Dick.
test_59,"Person2, encouraged by Person1, overcomes his nervousness to approach his interest, Janice, at a party."
test_60,Person1 considers enrolling in a business communication course after hearing Person2's positive experiences.
test_61,"Person1 and Person2 discuss weather changes, Beijing's improved dust problem due to tree planting, and the importance of dressing warmly."
test_62,"Person1's movie suggestions are rejected by Person2, who unexpectedly proposes a war film."
test_63,"Person1 explores Person2's school virtually, admiring its facilities and expressing a desire to attend, which Person2 encourages."
test_64,"Person1 joyfully announces her pregnancy to Person2, who reacts with surprise and immense happiness."
test_65,"Person1 reveals John's frequent dates with a woman, implying love. Person2, surprised, agrees they're a good match."
test_66,"Person1 advises Person2 to upgrade their system and software, suggesting specific hardware improvements and a painting program addition."
test_67,"A 40-year-old driver with Colombian heritage drives a 26-year-old businesswoman from China to a Holiday Inn, bonding over Spanish language."
test_68,Person1 worries about weight gain from overeating and inactivity; Person2 recommends diet and exercise.
test_69,"James visits a restaurant, initially denied a private room, but is eventually guided to his reserved space."
test_70,"Person1 learns about the large size, history, and production process of a plant from Person2, and agrees to a tour."
test_71,"Rebecca progressed from an intern to a sports reporter in York, before moving to a national newspaper in London."
test_72,"Person1 and Person2 collaboratively plan for a group report, involving a shopping trip for stationery items."
test_73,"Person1 advises Mary to try online job hunting for better visibility and safety, which she agrees to attempt."
test_74,"Person2 is creating a shopping budget to control spending and save money, which Person1 commends."
test_75,Henry advises Jane on bus routes to visit Susan in the hospital; Jane chooses bus 13 despite a longer walk.
test_76,Person1 and Person2 plan a meeting next Tuesday to discuss sales projections and spreadsheet macros.
test_77,"Person1 worries about navigating New York alone; Person2 recommends a personalized tour guide service, 'A Friend in New York'."
test_78,"Person2 interviews for a sales role at a large toy company, discussing current salary and potential compensation package, and expresses satisfaction."
test_79,"Person1 and Person2 negotiate terms of an agreement, with finalization and signing planned for the same day."
test_80,"Person1 reports serious car accident near Niagara Falls to ABC Rent-a-car Company, requests emergency assistance."
test_81,"Person1 seeks directions to school clinic from Person2, who provides detailed instructions."
test_82,"Person2 requests room change due to noise, Person1 promises resolution following tour group's departure."
test_83,"Person1 assists a tired Person2, just arrived from a flight, with plans for a banquet and sightseeing in Beijing."
test_84,"Person1 seeks Person2's help to reach Liu Ichang, a Chinese antique hub, from Olympic Park via Bus No. 713."
test_85,Person1 advises Person2 to seek professional help for their persisting computer issues to meet a report deadline.
test_86,"Person2 consults Person1 for a suitable birthday gift for his mother, eventually deciding on a gold watch."
test_87,"Fisher and Ross discuss an upcoming presentation, planning logistics, catering, and room capacity, leaving final attendee count unresolved."
test_88,"Person2 compares life in Russia and Canada, highlighting Russia's fast pace, slow public services, and Canada's efficiency and relaxed nature."
test_89,"Person1 warns Person2 about Caribbean storms during vacation planning, but Person2 remains undeterred."
test_90,"Person1 and Person2 discuss fruit options for a picnic, settling on bananas and grapes due to lack of oranges."
test_91,"Person1 inquires about car rental rates, shows interest, provides license, and completes form to finalize rental process."
test_92,Two individuals debate the appropriateness and context of smiling in social situations.
test_93,Person1 and Person2 discuss company's return to profitability due to new marketing strategy and president's leadership.
test_94,"Person2 loses backpack in taxi, borrows $50 from Person1 who also offers a ride home."
test_95,Lin and Steven discuss cultural differences in tipping between China and Steven's country over a meal.
test_96,"Bill shares his happiness with Person1, revealing actions involving his roommate and a man named Brain Locker."
test_97,Tom Wilson settled his four-night hotel bill of $660 via credit card.
test_98,"Susan called to confirm party details; it's tomorrow at 8:30pm at Jill's, and she's asked to bring dessert."
test_99,"Person1 mistakenly believes she recognizes Person2 from various locations, causing frustration when he denies it."
test_100,"Person1 and Person2 debate Trump's re-election, with Person1 favoring Biden and Person2 supporting Trump."
test_101,Person1 learns how to use an ATM with Person2's guidance and expresses gratitude.
test_102,"Susan asked John for a memo's location for her secretary, but he couldn't help; she thanked him anyway."
test_103,"Person1 invites Lily for a weekend picnic by the river, assuring her of all provisions."
test_104,"Person1 educates Person2 about Chinese dining etiquette, highlighting cultural differences and the significance of certain practices."
test_105,Frank and Mary discuss their movie preferences and Mary recommends Movie Salon for its wide selection.
test_106,"Person1 and Person2 discuss political party membership, the influence of smaller parties, and the public's political awareness."
test_107,"Person1 apologizes to Mr. Wilson for faulty goods, promises replacements and improved packaging, while Mr. Wilson demands compensation for losses."
test_108,"Person2 witnesses bank robbery, agrees to assist police with investigation."
test_109,"Parents have weekly date night, leaving kids to arrange their own dinner. Pizza suggested as an option."
test_110,Person1 contradicts his New Year's resolution to quit junk food by asking for chips.
