TestID,Summary
test_0,Office memo: All communications must be via email or memos. Instant Messaging is banned; violations lead to probation or termination.
test_1,Person2 considers switching to public transport or biking due to traffic and environmental concerns.
test_2,"Masha and Hero are divorcing amicably, surprising friends who thought they were a perfect couple."
test_3,"Person1 gives Brian a birthday gift, they dance, and compliment each other at the party."
test_4,"Two people discuss the size and features of an Olympic stadium under construction, highlighting its capacity and signage."
test_5,Person1 considers quitting to start a business but reconsiders after learning about the complexities of a business plan.
test_6,"Person 2 feels itchy and weak, possibly having chicken pox, while Person 1 reacts with concern and caution."
test_7,"Person2 checks out, disputes a laundry charge, and Person1 corrects the bill after verifying the mistake."
test_8,"Person1 seeks help from Person2 after his wife discovers his affair, risking divorce. He vows future faithfulness."
test_9,"Abraham Lincoln is admired for his perseverance, courage, vision, and humility, making him a standout figure of sound character."
test_10,"Person1 warns Person2 about severe sandstorms in Hebei, causing respiratory issues and irritation for residents."
test_11,"Francis receives a remote car model as a birthday gift, appreciating the thoughtful gesture from Person2."
test_12,"Tony regrets cheating on a test, feeling ashamed and fearing his father's reaction."
test_13,Person1 needs to catch a 9:30 train; Person2 assures there's enough time as the station is nearby.
test_14,"Person2 advises Person1 to sleep well, limit wine, exercise, and not worry about the future."
test_15,Person1 invites Person2 to Ruojia's marriage party; they discuss gifts to bring.
test_16,"Two people discuss a prank involving disguises, debating its fun versus cruelty, ultimately deciding to proceed."
test_17,"Mike describes his sister as tall, pretty, friendly, and easy-going, but not as clever as him."
test_18,"Person1 feels unwell; Person2 checks temperature, suggests calling in sick next time."
test_19,"Person2 wants to buy a phone with a camera, MP3 player, and video call capability."
test_20,Frank took a demanding Post Office job for excellent health insurance benefits covering his family.
test_21,"Person2 has programming skills, secretarial expertise, a doctor and driving license, and extensive office training and experience."
test_22,"Person1 requests a steak replacement due to incorrect cooking; Person2 agrees, noting a short wait."
test_23,"Tom's novel won The Nobel Prize, leaving him surprised and thrilled. They plan to celebrate the achievement."
