TestID,Summary
FR_20091112_RATP_SCD_0826,"Un client a demandé les horaires des trains RER E de Meaux à Paris, l'agent a fourni les informations nécessaires."
FR_20091112_RATP_SCD_0765,Un client conteste une amende RATP pour sa collègue ayant perdu sa carte Navigo. L'agent propose de discuter l'amende au bureau RATP ou par courrier.
FR_20091112_RATP_SCD_0268,Un client a demandé un dossier Imagine+R par courrier. L'agent a expliqué que c'est impossible mais a fourni le numéro du service pour plus d'informations.
FR_20091112_RATP_SCD_0346,"Un client a demandé des directions pour se rendre à Paris, l'agent a suggéré la ligne 2 du métro, résolvant l'appel."
FR_20091112_RATP_SCD_0761,"Un client insiste pour renouveler son contrat Navigo par téléphone, l'agent le redirige vers l'agence commerciale et le gestionnaire de carte pour assistance."
FR_20091112_RATP_SCD_0756,"Un client demande des informations sur la compensation suite à des grèves perturbant ses voyages, mais l'agent ne peut fournir de détails concrets."
FR_20091112_RATP_SCD_0503,Un client cherchant à se rendre de Clichy à la Gare de Lyon reçoit des instructions de métro détaillées de la part d'un agent.
FR_20091112_RATP_SCD_0779,"Le client demande une attestation d'abonnement pour remboursement par son employeur. L'agent propose deux solutions, le client choisit d'appeler un numéro spécifique."
FR_20091112_RATP_SCD_0870,"Une femme se renseigne sur les réductions de transport liées à l'emploi de son mari à la RATP. L'agent confirme la possibilité, explique la procédure et les restrictions."
FR_20091112_RATP_SCD_0905,Un client demande des directions pour se rendre à une adresse spécifique à Paris. L'agent fournit des informations détaillées sur le trajet en métro.
FR_20091112_RATP_SCD_0758,Un représentant du Ministère des Affaires étrangères organise un séminaire à Paris et contacte la RATP pour obtenir des cartes de transport pour les participants.
FR_20091112_RATP_SCD_0679,"Une femme âgée a appelé la RATP pour signaler un sac perdu contenant des documents médicaux importants, mais malheureusement, il n'a pas été retrouvé."
FR_20091112_RATP_SCD_0897,Une cliente mécontente demande un remboursement pour un trajet Orlyval interrompu par une grève. L'agent l'oriente vers le Service Clientèle pour réclamation.
FR_20091112_RATP_SCD_0795,Un demandeur d'emploi en formation se renseigne sur un tarif de transport adapté. L'agent propose le passe Navigo Orange et explique les conditions d'obtention.
FR_20091112_RATP_SCD_0731,Un client a perdu une trousse dans un bus. L'agent n'a pas trouvé la trousse et a suggéré de contacter le bureau des objets trouvés.
FR_20091112_RATP_SCD_0830,"Un client a perdu son sac contenant un hautbois dans le métro. L'agent a localisé le sac à la station Mairie d'Ivry, résolvant le problème."
FR_20091112_RATP_SCD_0851,Un groupe scolaire prévoit un voyage à Paris et l'agent RATP conseille d'acheter les tickets et cartes Paris+Visite sur place.
FR_20091112_RATP_SCD_0782,"Un client cherchant un itinéraire de Massy à Colombes a reçu une alternative évitant le RER B en grève, avec un temps de trajet estimé à 2h15."
FR_20091112_RATP_SCD_0755,Un client a oublié son sac à dos dans un RER A. L'agent n'a pas trouvé le sac dans leur système et a orienté le client vers la SNCF.
FR_20091112_RATP_SCD_0813,Un client a signalé la perte d'un gant dans un bus. L'agent n'a pas trouvé le gant dans les objets trouvés. Le client a accepté la situation.
FR_20091112_RATP_SCD_0783,"Un client confond le service client de la RATP avec la Sécurité Sociale, concernant un problème de carte vitale aux Antilles."
FR_20091112_RATP_SCD_0810,"Un client a appelé pour confirmer des incidents sur les lignes 13 et 6 du métro, nécessaires pour justifier ses absences au travail. Problème résolu."
FR_20091112_RATP_SCD_0327,"Client s'informe sur le T+deux à Porte+de+Versailles. Agent confirme qu'il est en test, accessible après le 20 du mois. Problème résolu."
FR_20091112_RATP_SCD_0759,Le client demande les horaires de train Sartrouville-Bécon-les-Bruyères. L'agent fournit les informations mais ne peut aider sur l'itinéraire depuis Houilles-Carrières.
FR_20091112_RATP_SCD_0738,"L'agent aide le client à trouver l'itinéraire de bus approprié à Fontenay-sous-Bois, résolvant les problèmes d'orientation et de localisation."
FR_20091112_RATP_SCD_0798,Une cliente a perdu son sac dans le bus 123. L'agent n'a pas pu confirmer sa récupération et a conseillé de rappeler plus tard.
FR_20091112_RATP_SCD_0796,Un ancien employé de la RATP obtient une réduction tarifaire pour son amie non-officielle et est dirigé vers la caisse de retraite pour des questions de pension.
FR_20091112_RATP_SCD_0131,Un ancien combattant a perdu sa carte Émeraude RATP. L'agent l'a conseillé sur le processus de réclamation et les prochaines étapes à suivre.
FR_20091112_RATP_SCD_0815,Un représentant d'une association scolaire appelle pour comprendre la procédure de transport en commun pour les étudiants. L'agent propose une solution et transfère l'appel.
FR_20091112_RATP_SCD_0788,Un client souhaite suspendre son abonnement Navigo pour cause de maladie. L'agent explique la procédure de remboursement et suggère de tenter malgré le délai dépassé.
FR_20091112_RATP_SCD_0805,"Un client a appelé pour un prélèvement incorrect sur son abonnement Imagine+R, l'agent l'a orienté vers le service concerné pour résolution."
FR_20091112_RATP_SCD_0735,Un client se plaint du coût non indiqué des appels vers le centre d'appel. L'agent promet de signaler le problème.
FR_20091112_RATP_SCD_0902,"Un client conteste une amende de transport pour son fils, malgré une carte Imagine+R annuelle. L'appel est transféré pour résolution approfondie."
FR_20091112_RATP_SCD_0317,"Un client a appelé pour retrouver son téléphone Alcatel perdu dans un bus, mais l'agent n'a pas pu le localiser. Problème non résolu."
FR_20091112_RATP_SCD_0710,Un client demande des itinéraires de transport entre Aulnay-sous-Bois et Blanc-Mesnil. L'agent propose des options de bus et de RER.
FR_20091112_RATP_SCD_0862,"Client s'informe sur la grève des bus à Vitry-sur-Seine, l'agent confirme le trafic normal. Problème résolu."
FR_20091112_RATP_SCD_0747,Un client blessé cherche un remboursement pour son abonnement Navigo inutilisé. L'agent l'oriente vers le service de gestion de la carte Intégrale.
FR_20091112_RATP_SCD_0087,"Un client demande comment se rendre à Boulogne-Billancourt depuis la station Javel sans métro. L'agent suggère le bus 72, résolvant le problème."
FR_20091112_RATP_SCD_0775,"Un agent RATP peine à contacter le musée des transports. Malgré les suggestions du service client, aucune solution définitive n'est trouvée."
FR_20091112_RATP_SCD_0370,Un client cherche le numéro d'infraction d'une amende non reçue. L'appel est transféré au centre de paiement RATP sans résolution finale.
FR_20091112_RATP_SCD_0772,"Un client appelle pour s'informer sur le retard du bus 325, l'agent confirme le retard dû à un trafic perturbé et un nombre limité de bus."
FR_20091112_RATP_SCD_0816,"Un client a besoin d'aide pour mettre à jour les tarifs de carte Intégrale dans son logiciel de paye, l'agent explique les changements de zones."
FR_20091112_RATP_SCD_0428,Une femme âgée s'informe sur le fonctionnement de deux lignes de bus en raison d'une possible grève. L'agent confirme leur fonctionnement normal.
FR_20091112_RATP_SCD_0829,Un client a demandé des informations sur l'itinéraire et le tarif de Noisiel à Bobigny-Pablo Picasso. L'agent a fourni les détails et résolu le problème.
FR_20091112_RATP_SCD_0246,"Un client s'inquiète de l'impact d'une grève sur son trajet et son abonnement RER, l'agent propose des alternatives mais ne peut confirmer la reprise du service."
FR_20091112_RATP_SCD_0833,"Un client a signalé la perte d'un dossier d'inscription universitaire dans un bus, mais l'agent n'a pas pu le retrouver lors de l'appel."
FR_20091112_RATP_SCD_0740,"Un client a signalé la perte de son portefeuille dans le métro à un agent de centre d'appel, mais il n'a pas été retrouvé."
FR_20091112_RATP_SCD_0739,"Un client signale qu'un bus n'a pas marqué l'arrêt, causant un retard. L'agent promet de signaler l'incident au régulateur de la ligne."
FR_20091112_RATP_SCD_0856,Un client appelle le mauvais service de la RATP pour des informations tarifaires. L'agent l'oriente vers le bon numéro. Problème non résolu.
FR_20091112_RATP_SCD_0858,Un client contacte le service client pour résoudre un problème de facturation avec la carte Imagine+R de sa fille. L'agent fournit des conseils pour contacter Imagine+R directement.
FR_20091112_RATP_SCD_0854,"Un client cherche un itinéraire pour Clichy-sous-Bois. L'agent propose un trajet complexe incluant métro, RER, tram et bus. Le client doit encore localiser le théâtre."
FR_20091112_RATP_SCD_0844,Un client cherche à se faire rembourser une amende reçue malgré son abonnement valide. L'agent lui donne les instructions pour une demande de remboursement.
FR_20091112_RATP_SCD_0988,"Un client a appelé pour obtenir des informations de contact spécifiques, l'agent a fourni les informations nécessaires, résolvant le problème du client."
FR_20091112_RATP_SCD_0900,"Un client frustré par l'inexactitude des informations de trafic du RER B appelle pour des clarifications, mais l'agent ne peut pas résoudre le problème."
FR_20091112_RATP_SCD_0785,"Le client cherche l'arrêt de bus ligne 43 à la Gare du Nord; l'agent indique qu'il est sur la rue de Dunkerque, face à la rue Saint-Quentin."
FR_20091112_RATP_SCD_0742,"Un client a appelé pour connaître le trafic sur la ligne B quatre, l'agent a fourni des informations actuelles et promis des détails supplémentaires après une réunion."
FR_20091112_RATP_SCD_0986,Un client a perdu sa carte de transport. L'agent a localisé la carte et a informé le client qu'il peut la récupérer à un terminus de bus spécifique.
FR_20091112_RATP_SCD_0745,"Un client demande des informations sur un trajet en RER. L'agent fournit les détails, mentionne une grève potentielle et conseille de vérifier plus tard."
FR_20091112_RATP_SCD_0737,Une cliente demande le remboursement de tickets de métro achetés suite à l'oubli de sa carte Intégrale. L'agent informe qu'aucun remboursement n'est prévu.
FR_20091112_RATP_SCD_0754,Un client cherche un remboursement pour une carte Orange achetée suite au retard de sa carte Imagine+R. L'agent suggère de contacter Imagine+R pour une solution.
FR_20091112_RATP_SCD_0868,"Un client cherche la station de bus la plus proche de la rue Jules Regnault à Vitry-sur-Seine, qui est Grimau-Voie Verte."
FR_20091112_RATP_SCD_0867,Un retraité de la RATP a demandé comment se rendre à la rue Taclet à Paris en bus. L'agent lui a fourni des instructions détaillées.
FR_20091112_RATP_SCD_0468,"Un représentant du Novotel Paris les Halles demande la fréquence des RER B, mais l'agent ne peut fournir l'information, surtout pendant une grève."
FR_20091112_RATP_SCD_0777,Un client interroge l'état de l'interconnexion du réseau B. L'agent confirme sa réparation mais ne peut expliquer les problèmes de terminus rencontrés le matin.
FR_20091112_RATP_SCD_0036,Une femme a oublié son écharpe dans un bus et doit rappeler plus tard pour résoudre son problème.
FR_20091112_RATP_SCD_0792,Un agent guide un client de Denfert-Rochereau à la rue d'Assas à Paris en utilisant le bus 68 et donne des instructions de marche détaillées.
FR_20091112_RATP_SCD_0791,Un client confus sur l'itinéraire du bus 154 reçoit des conseils pour atteindre l'hôpital Moulins Gémeaux à Saint-Denis via le bus 255.
FR_20091112_RATP_SCD_0808,"Un client demande le prix d'un billet de train d'Arcueil-Cachan à Antony, l'agent répond que c'est un euro cinquante-cinq."
FR_20091112_RATP_SCD_0764,Un client handicapé s'enquiert des grèves affectant les lignes de bus 148 et 322. L'agent confirme qu'aucune grève n'est prévue.
FR_20091112_RATP_SCD_0265,"Un client rapporte un incident psychologique causé par un chauffeur de bus épileptique, cherchant une résolution auprès du responsable de la ligne."
FR_20091112_RATP_SCD_0398,"Un client a réactivé son passe Navigo avec des coordonnées bancaires obsolètes. L'agent a suggéré des solutions, le client choisit d'aller en agence."
FR_20091112_RATP_SCD_0803,Une femme âgée appelle pour comprendre le renouvellement de sa carte de transport RATP. L'agent explique la différence entre la carte de transport et la carte d'agent retraité.
FR_20091112_RATP_SCD_0817,"Une cliente conteste une amende de bus due à un problème de passe Navigo, malgré l'envoi de justificatifs. Elle est redirigée vers le service de paiement."
FR_20091112_RATP_SCD_0778,Un client demande le tarif d'un abonnement de train Paris-Creil. L'agent ne peut fournir l'information et suggère de contacter la SNCF directement.
FR_20091112_RATP_SCD_0863,Un représentant scolaire commande 200 tickets de métro pour Paris. Des problèmes surviennent concernant le paiement à distance et l'obtention d'un tarif réduit.
FR_20091112_RATP_SCD_0845,"Un client s'inquiète de l'absence du bus 125, l'agent confirme une grève mais assure qu'un bus arrivera dans dix minutes."
FR_20091112_RATP_SCD_0367,"Un client cherche des informations sur une grève de bus. L'agent ne sait pas, mais donne le numéro d'Athis Cars pour plus de détails."
FR_20091112_RATP_SCD_0852,"Un stagiaire à Paris a été informé sur les documents nécessaires pour obtenir une carte Orange, y compris une attestation d'hébergement. Problème résolu lors du premier appel."
FR_20091112_RATP_SCD_0771,"Un client demande des informations sur le trajet en bus 350 de la Gare de l'Est à l'aéroport Charles de Gaulle, l'agent fournit les détails nécessaires."
FR_20091112_RATP_SCD_1058,Un client a oublié une boîte dans le bus 281. L'agent a localisé l'objet au terminus d'Europarc et a informé le client.
FR_20091112_RATP_SCD_0799,"Un client s'inquiète du temps de trajet en bus d'Aubervilliers à Saint-Claude en raison de travaux. Après discussion, il décide de partir plus tôt."
FR_20091112_RATP_SCD_0493,Un client a perdu sa carte Imagine+R à l'arrêt de métro Richelieu-Drouot. L'agent a confirmé sa récupération et conseillé au client de se présenter avec une pièce d'identité.
FR_20091112_RATP_SCD_0886,Un client non enregistré cherche à passer une grande commande de billets. L'agent le dirige vers un chargé de clientèle pour l'aider à créer un compte.
FR_20091112_RATP_SCD_0732,Une jeune travailleuse perd son reçu de paiement Navigo. L'agent de la mission locale conseille d'obtenir un duplicata à une agence commerciale. Problème résolu.
FR_20091112_RATP_SCD_0859,Un client contacte le service client pour connaître l'état de sa demande de carte de transport. L'agent ne peut pas aider immédiatement et suggère de rappeler plus tard.
FR_20091112_RATP_SCD_0871,Un client cherche le meilleur itinéraire pour aller à l'aéroport d'Orly depuis Clamart. L'agent propose une solution simple et satisfaisante.
FR_20091112_RATP_SCD_0865,Un client a demandé un itinéraire de Paris 19ème à Port-Royal. L'agent a fourni des instructions détaillées pour le trajet nocturne. Problème résolu.
