TestID,Summary
FR_20091112_RATP_SCD_0826,Un homme appelle pour connaître les horaires de train de la ligne RER E entre Meaux et Paris pour le jour même.
FR_20091112_RATP_SCD_0765,Un homme appelle la RATP pour contester une amende reçue par sa collègue qui avait perdu sa carte Navigo. Il reçoit des instructions pour contester par courrier.
FR_20091112_RATP_SCD_0268,Un client demande un dossier pour une carte Imagine+R. L'agent informe que les dossiers sont disponibles aux guichets et donne le numéro du service.
FR_20091112_RATP_SCD_0346,Un utilisateur demande l'itinéraire pour aller du boulevard de Charonne au boulevard de Belleville à Paris. L'assistant suggère de prendre le métro ligne 2.
FR_20091112_RATP_SCD_0761,"Un client demande le renouvellement de son contrat de carte Navigo Intégrale par fax, mais est redirigé vers le gestionnaire de la carte."
FR_20091112_RATP_SCD_0756,Un voyageur s'informe sur une éventuelle compensation suite aux grèves. On lui conseille d'attendre une annonce officielle.
FR_20091112_RATP_SCD_0503,Une femme du Nord demande des indications pour se rendre à la Gare de Lyon depuis Clichy. On lui conseille le métro.
FR_20091112_RATP_SCD_0779,Un client appelle pour obtenir une attestation d'abonnement pour son employeur. L'agent lui donne les informations nécessaires.
FR_20091112_RATP_SCD_0870,Une femme se renseigne sur les réductions de transport disponibles pour la famille des employés de la RATP.
FR_20091112_RATP_SCD_0905,Une femme demande l'itinéraire pour se rendre à la rue de Reuilly depuis la Porte de Vincennes en métro.
FR_20091112_RATP_SCD_0758,Un organisateur de séminaire cherche à obtenir des cartes de transport pour ses invités internationaux auprès de la RATP.
FR_20091112_RATP_SCD_0679,Une femme âgée a perdu ses radios médicales et ses ordonnances dans le métro et appelle le service des objets trouvés pour les récupérer.
FR_20091112_RATP_SCD_0897,Une cliente demande le remboursement d'un billet Orlyval suite à une grève. L'agent lui explique que ce n'est pas possible mais lui donne les coordonnées du service clientèle.
FR_20091112_RATP_SCD_0795,Un demandeur d'emploi en formation cherche un tarif de transport adapté à Paris pour huit mois. Il est conseillé d'obtenir un passe Navigo Orange.
FR_20091112_RATP_SCD_0731,Une femme appelle pour savoir si une trousse contenant des bijoux et des produits de beauté qu'elle a perdue dans un bus a été retrouvée.
FR_20091112_RATP_SCD_0830,Un homme appelle le service client pour signaler la perte de son sac contenant un hautbois dans le métro. Le sac est retrouvé et l'homme est informé.
FR_20091112_RATP_SCD_0851,Un groupe scolaire prépare un voyage à Paris et se renseigne sur l'achat de tickets de transport et de cartes Paris Visite.
FR_20091112_RATP_SCD_0782,"Une personne demande un itinéraire pour se rendre de Massy à Colombes, en évitant le RER B à cause des grèves."
FR_20091112_RATP_SCD_0755,"Un homme appelle pour signaler qu'il a oublié son sac à dos dans un RER en direction de Cergy ou Poissy, contenant des vêtements et des papiers personnels."
FR_20091112_RATP_SCD_0813,"Un homme appelle pour retrouver un gant perdu dans un bus, mais il n'est pas retrouvé. Il plaisante sur un cadeau de Noël à venir."
