TestID,Summary
test_0,"A memo is dictated by Person1 to Person2, stating that all office communications will be restricted to email and official memos, prohibiting the use of Instant Messaging."
test_1,"Person 2 decides to quit driving to work due to traffic congestion, pollution concerns, and the desire for a less stressful commute."
test_2,"Masha and Hero are getting divorced after a two-month separation, with Masha getting custody of the kids. The divorce will be finalized early next year."
test_3,Person1 wishes Brian a happy birthday and compliments him on the party. Person2 invites Person1 to join the party and they have a dance. Person2 compliments Person1's appearance and they decide to have a drink together to celebrate Brian's birthday.
test_4,"The Olympic park is large, with the stadium set to be finished in June and a total of 5000 seats. Signs with English translations are in place for foreign visitors."
test_5,"Person 1 decides to quit their job and start their own company, but after learning about the complexities of writing a business plan, they reconsider."
test_6,"Person 2 is experiencing itchiness and other symptoms, and Person 1 suspects they have chicken pox."
test_7,Person 2 checks out of their hotel room and requests their bill. They notice a charge for laundry service that they did not use. Person 1 apologizes for the mistake and corrects the bill.
test_8,"Person1 confesses to Person2 about having an affair with their secretary, leading to their wife wanting a divorce. Person2 agrees to help, but questions their future faithfulness."
test_9,"Abraham Lincoln is remembered for his sound character, perseverance, courage, vision, and humility in fighting for equal rights."
test_10,"Sandstorms in Hebei can cause respiratory tract infections due to the irritation caused by the sand, affecting the people living in the area."
test_11,"Person 2 gives Person 1 a remote car model as a birthday gift, which Person 1 appreciates even more knowing it was the last one."
test_12,"Person2 made a big mistake by cheating and got caught, feeling ashamed and worried about their father's reaction. Person1 advises them to learn from their mistakes."
test_13,"Person 1 realizes it's late and needs to catch a train, but Person 2 reassures them that they have plenty of time."
test_14,"Person 2 advises Person 1 to get plenty of sleep, not drink too much, and do exercise every morning to improve their life."
test_15,"Person1 invites Person2 to a party, revealing that their friend Ruojia has gotten married. Person2 is surprised and excited, and Person1 explains that they found out through social media and an email. They discuss what to bring to the party."
test_16,"Person 1 and Person 2 discuss pulling a strip and peeling off the back, causing potential harm to others for fun."
test_17,"Person2 describes their sister as tall, pretty, friendly, and easy-going, but not as clever as themselves."
test_18,"Person 1 has a headache and a small fever, and Person 2 suggests calling in sick next time."
test_19,"Person 2 wants to buy a new mobile phone with a camera, MP3 player, and video call capabilities."
test_20,"Person2 got a new job at the Post Office with a demanding work schedule, but the excellent health insurance benefits for family members made it worth it."
test_21,"Person2 has computer programming skills, secretarial skills, a doctor license, a driving license, and has received special training in office skills. They are experienced in operating various office equipment."
