TestID,Summary
FR_20091112_RATP_SCD_0826,"Un homme appelle pour obtenir les horaires des trains RER de Meaux à Paris, et reçoit les informations pour 16h49 et 17h19."
FR_20091112_RATP_SCD_0765,"Un collègue appelle pour contester une amende de transport, cherchant une solution pour une collègue ayant perdu sa carte Navigo."
FR_20091112_RATP_SCD_0268,Un client demande un dossier Imagine+R par téléphone. L'agent informe que les dossiers sont disponibles aux guichets et fournit un numéro de contact.
FR_20091112_RATP_SCD_0346,"Un homme demande des directions pour aller du 37 boulevard de Charonne au 64 boulevard de Belleville, conseillé de prendre la ligne 2 du métro."
FR_20091112_RATP_SCD_0761,"Un client demande le renouvellement de sa carte Navigo par fax, mais doit contacter le gestionnaire ou se rendre en agence."
FR_20091112_RATP_SCD_0756,"Un client demande des informations sur les compensations pour les grèves, mais aucune note officielle n'est encore disponible."
FR_20091112_RATP_SCD_0503,Une femme demande des directions pour aller de Clichy à Gare de Lyon. On lui conseille de prendre le métro 13 puis 14.
FR_20091112_RATP_SCD_0779,"Un client demande une attestation d'abonnement pour remboursement. L'agent fournit des options pour l'obtenir, incluant un numéro de téléphone."
FR_20091112_RATP_SCD_0870,Une femme demande si elle peut bénéficier d'une réduction de transport grâce au travail de son mari à la RATP. Réponse affirmative.
FR_20091112_RATP_SCD_0905,Une personne demande des directions pour la rue de Reuilly. On lui conseille de descendre à la station Reuilly-Diderot.
FR_20091112_RATP_SCD_0758,Un client organise un séminaire à Paris et demande des cartes de transport pour 50 personnes via le service grand compte de la RATP.
FR_20091112_RATP_SCD_0679,"Une femme de 90 ans cherche ses radios médicales perdues dans le métro, contacte la RATP, mais elles ne sont pas retrouvées."
FR_20091112_RATP_SCD_0897,"Un passager demande un remboursement pour un billet Orlyval non utilisé en raison de grèves, mais apprend que ce n'est pas possible."
FR_20091112_RATP_SCD_0795,Un demandeur d'emploi cherche un tarif réduit pour se déplacer à Paris. Il obtient des informations sur le passe Navigo Orange sans réduction chômeur.
FR_20091112_RATP_SCD_0731,"Une femme cherche une trousse bleue perdue dans un bus, contenant maquillage et bijoux, et reçoit un numéro pour les objets trouvés."
FR_20091112_RATP_SCD_0830,"Un homme retrouve son sac perdu dans le métro grâce au service client, contenant un hautbois et des documents personnels."
FR_20091112_RATP_SCD_0851,"Un groupe scolaire planifie un voyage à Paris, discute des options de transport et des cartes Paris Visite avec un agent."
FR_20091112_RATP_SCD_0782,"Une personne demande un itinéraire de Massy à Colombes, évitant le RER B. L'agent propose un trajet en bus et métro."
FR_20091112_RATP_SCD_0755,Un passager signale un sac à dos oublié dans le RER A. L'agent fournit le numéro de la SNCF pour assistance.
FR_20091112_RATP_SCD_0813,Un homme appelle pour un gant perdu dans un bus. L'objet n'est pas retrouvé. Il plaisante sur un cadeau de Noël.
FR_20091112_RATP_SCD_0783,"Un homme appelle par erreur le service client de la RATP pour un problème de carte vitale, reçoit le bon numéro."
FR_20091112_RATP_SCD_0810,Un appel pour vérifier les incidents sur les lignes 13 et 6 du métro révèle des perturbations matinales dues à des pannes et un voyageur malade.
FR_20091112_RATP_SCD_0327,"Le T2 entre Porte de Versailles et Val d'Issy est en test jusqu'au 20, pas encore accessible aux voyageurs."
FR_20091112_RATP_SCD_0759,Un client demande des horaires de train de Sartrouville à Bécon-les-Bruyères. L'agent fournit les horaires et un numéro de contact SNCF.
FR_20091112_RATP_SCD_0738,Une personne demande des informations sur les bus pour se rendre de Boulevard de Verdun à Rue Victor Musso à Fontenay-sous-Bois.
FR_20091112_RATP_SCD_0798,"Une femme signale un sac oublié dans un bus. Le service client vérifie, mais rien n'est trouvé. Elle doit rappeler plus tard."
FR_20091112_RATP_SCD_0796,"Un retraité RATP demande une réduction tarifaire pour sa compagne non pacsée, nécessitant une déclaration sur l'honneur et des documents d'identité."
FR_20091112_RATP_SCD_0131,Un ancien combattant signale la perte de sa carte Émeraude à la RATP. On lui conseille d'attendre une réponse ou de contacter sa mairie.
FR_20091112_RATP_SCD_0815,Une association cherche à acheter en gros des tickets de transport à tarif réduit pour organiser des sorties scolaires en Seine-Saint-Denis.
FR_20091112_RATP_SCD_0788,Un client souhaite suspendre son abonnement Navigo pour maladie. Il doit fournir des justificatifs pour un remboursement partiel.
FR_20091112_RATP_SCD_0805,Un client conteste un prélèvement excessif pour son abonnement Imagine+R et reçoit le numéro du service client pour résoudre le problème.
FR_20091112_RATP_SCD_0735,"Un client demande le coût d'un appel téléphonique, l'agent ne sait pas et promet de signaler l'absence d'information."
FR_20091112_RATP_SCD_0902,"Une mère conteste une amende de son fils, détenteur d'une carte Imagine R, et cherche assistance auprès du service recouvrement."
FR_20091112_RATP_SCD_0317,"Une femme appelle pour retrouver un téléphone Alcatel blanc perdu dans un bus, mais il n'a pas été retrouvé."
FR_20091112_RATP_SCD_0710,"Une personne demande des informations sur les itinéraires de bus et RER pour un trajet entre Aulnay-sous-Bois et Le Blanc-Mesnil, incluant horaires et correspondances."
