TestID,Summary
test_0,"Person1, presumably a superior, instructs Person2, Ms. Dawson, to draft an intra-office memorandum to be distributed to all employees. The memo announces a new policy effective immediately, prohibiting the use of Instant Messaging programs during working hours for both internal and external communications. Person1 expresses a concern that Instant Messaging wastes too much time. The policy includes consequences for non-compliance, with a warning and probation for the first offense, and termination for the second. Person1 instructs Ms. Dawson to have the memo distributed by 4 pm. Despite Ms. Dawson's concern about employees' use of Instant Messaging for client communication, Person1 insists on the change."
test_1,"Person1 and Person2 discuss the latter's habitual traffic issues near the Carrefour intersection. Person1 suggests alternative routes and the use of public transport to alleviate the problem. Person2 acknowledges the benefits of public transport, including its positive environmental impact and less stress compared to driving. However, Person2 expresses concern about losing the freedom associated with having a car. Person1 proposes biking as a solution, which Person2 agrees could be beneficial for exercise. Ultimately, Person2 decides to stop driving to work due to its negative impact on both personal well-being and the environment."
test_2,"Person1 informs Person2 about the impending divorce of Masha and Hero, surprising Person2 who believed they were a well-matched couple. The reason for the divorce is unclear, but they have been separated for two months. Masha will have custody of the children, and the divorce proceedings appear to be amicable, with no disputes over property or stocks. The divorce is expected to be finalized early in the New Year."
test_3,"Person1 arrives at Brian's (Person2) birthday party, expressing joy and appreciation for the invitation. Person1 offers Brian a birthday gift and requests a dance, to which Brian agrees. They both enjoy the party, with Person1 receiving compliments from Brian about her popularity and appearance. Person1 expresses hope that her necklace matches her dress, and Brian assures her that she looks great. They conclude their conversation by agreeing to have a celebratory drink together."
test_4,"Person1 and Person2 are visiting the Olympic park, specifically the Olympic stadium, which is the park's centerpiece. Person1 expresses awe at the size of the park and the stadium, which is scheduled for completion in June. The stadium has a seating capacity of 5000. Person2 points out the tracks and the jumping pit, further impressing Person1. They also notice a sign prohibiting climbing, which Person2 explains is one of many signs translated into English for the benefit of foreign visitors."
test_5,"Person1 expresses frustration with their current job and declares their intention to quit and start their own company. Person2 questions Person1's experience in writing a business plan, leading to a detailed explanation of the complexities involved in creating a comprehensive business plan. This includes an executive summary, company description, product or service description, market analysis, strategy and implementation, and financial analysis. Overwhelmed by the complexity and effort required, Person1 reconsiders their decision and decides to stick to their current job."
test_6,"Person1 notices Person2 scratching excessively and inquires about their condition. Person2 admits to feeling itchy, lightheaded, and weak, suggesting they might be ill. Upon closer inspection, Person1 panics, believing Person2 has contracted chickenpox, a contagious disease. Person1 expresses fear due to their lack of immunity, mentioning the potential fatal consequences for adults. Person2, however, dismisses Person1's overreaction, suggesting it could be a rash or allergy, and decides to take an oatmeal bath while waiting to consult a doctor."
test_7,"Person2, a guest in Room 309, requested their bill from Person1 as they were checking out. Upon reviewing the bill, Person2 noticed an unexpected $30 charge for laundry service on Nov. 20th, which they claimed not to have used. Person1 apologized for the error and promised to rectify it with the relevant department. After the correction, Person2 seemed satisfied. The conversation ended with Person1 bidding Person2 goodbye."
test_8,"Person1, in a state of distress, confesses to Person2, Steven, that he has been unfaithful to his wife with his secretary, which has led his wife to consider divorce. Despite his infidelity, Person1 expresses remorse and a deep love for his wife, stating he cannot live without her. Steven, although disappointed in Person1's actions, agrees to help by attempting to persuade the wife to reconsider the divorce. He secures a promise from Person1 to remain faithful to his wife henceforth."
test_9,"Person1 and Person2 discuss their admiration for Abraham Lincoln, highlighting his sound character. Person2 first mentions Lincoln as a person of note, and both speakers acknowledge his honesty, exemplified by a story where he walked five miles to return a lady's change. They also commend his perseverance, as he ran for office multiple times before his election. Person2 further admires Lincoln's courage in advocating for equal rights. Both speakers agree on Lincoln's vision and humility, with Person2 expressing a wish to have met him personally."
test_10,"Person1 and Person2 discuss a potential trip to Hebei, China. Person1 warns Person2 about severe sandstorms in the northern region, specifically mentioning that Hebei is experiencing six-degree strong winds. Person1 further explains the adverse effects of these sandstorms, stating that they tend to increase respiratory tract infections among the local population due to the sand's irritation to noses and throats. Person2 acknowledges the troublesome nature of these sandstorms."
test_11,"At Francis's birthday party, Person2, a guest, presents Francis with a gift, which turns out to be a remote car model of Francis's favorite brand. Francis expresses his delight and appreciation for the thoughtful gift. Person2 admits to having been conflicted about giving away the car model, as it was the last one available and they liked it very much. Despite this, Person2 chose to give it to Francis, which further increases Francis's appreciation for the gift."
test_12,"Tony confided in Steven about his regrettable action of cheating on a test, which resulted in him failing. Tony's fear of his father's reaction to his failure was the primary motivation behind his dishonest act. Steven, while expressing disappointment in Tony's actions, advised him to focus on studying hard in the future. Tony acknowledged his mistake and expressed deep remorse for not studying and resorting to cheating."
test_13,"Person1 inquired about the time from Person2, who informed that it was ten minutes to nine. Surprised by the lateness of the hour, Person1 expressed a need to leave immediately to catch the nine-thirty train. Person2, however, reassured Person1 that there was ample time left, as the railway station was nearby and would not take more than twenty minutes to reach."
test_14,"Person1 expresses feelings of uncertainty about life adjustments, revealing symptoms of poor sleep, excessive alcohol consumption, fatigue, and morbid thoughts. Person2 responds with concern, advising Person1 to get adequate sleep, reduce alcohol intake, incorporate exercise into their routine, and not to worry about the future due to their youth and potential. The intent behind Person2's advice is to help Person1 improve their physical and mental wellbeing."
test_15,"Person1 invited Person2 to a party hosted by Ruojia, who recently got married. Person2 was surprised and delighted by the news, which Person1 learned from Ruojia's Twitter and an email. Person2 initially didn't see the email but found it upon checking. Both agreed to bring gifts to the party: Person1 will bring wineglasses and a card, while Person2 plans to buy a tea set."
test_16,"Person1 instructs Person2 on how to use a certain item, which Person2 believes might upset some people. Despite Person2's initial disapproval, labeling the act as cruel, Person1 insists that it's fun and those who don't find it amusing aren't meant to be their friends. Person1 then points out two individuals, whose gender they question, prompting Person2 to ask for a photo. Despite their initial reservations, Person2 seems to join in on Person1's activity, indicating a change in their stance."
test_17,"In the conversation, Person1 inquires about the physical appearance and personality traits of Mike's sister. Mike describes his sister as tall, attractive, friendly, and easy-going, similar to himself. However, he asserts that she is not as intelligent as him, which prompts Person1 to jokingly accuse him of being conceited."
test_18,"Person1, feeling unwell with a headache and dizziness, seeks assistance from Person2. Person2 checks Person1's temperature and confirms a mild fever. Person2 advises Person1 to inform the school office through their parents if they feel sick in the future."
test_19,"Person1, presumably a salesperson, offers assistance to Person2, who expresses a desire to purchase a new mobile phone. Person1 suggests a phone equipped with a camera and MP3 player, to which Person2 agrees and additionally requests for a video call feature."
test_20,"In the conversation, Judy learns that Frank has secured a new job at the Post Office, which demands an early start at 5am and allows only a short lunch break. Despite the rigorous schedule, Frank's decision to take up the job is driven by the excellent health insurance benefits offered by the government to its employees. This benefit extends to his children, providing them with free medical care, which Judy acknowledges as a significant employment advantage."
test_21,"Person1 inquires about Person2's special skills, qualifications, and relevant work experience. Person2 reveals their ability to write computer programs and proficiency in secretarial skills. They also hold a doctor and driving license. They have undergone special training in office skills, including passing the Cambridge Examinations, studying at Lucas Secretarial College in London, and acquiring proficiency in English shorthand and typing. Person2's work experience includes special training in typing, shorthand, operating a fax machine, and familiarity with IBM-PC and other office equipment. Their intent is to demonstrate their qualifications for a potential job."
test_22,"Person1 expressed dissatisfaction with his steak, stating it was overcooked and tough, contrary to his initial request for a medium rare steak. Person2, acknowledging the error, agreed to replace the steak, but warned Person1 of a potential wait time. Person1 accepted this condition, expressing gratitude for the service."
test_23,"Person1 informs Person2, Tom, that his novel has won The Nobel Prize, which comes as a surprise to Tom. Overwhelmed with joy and disbelief, Tom expresses his gratitude towards Person1, who commends him for his achievement and suggests a celebration. The intent behind Person1's news is to congratulate Tom and express pride in his accomplishment."
test_24,"Person1 questioned Person2's qualifications for a job. Person2 responded by stating their educational background in Automobile Designing and a master's degree in science, expressing confidence in their ability to perform well. When asked about previous responsibilities, Person2 revealed their role as a student engineer, primarily responsible for understanding the mechanical strength and corrosion resistance of various materials."
test_25,"Person1 and Person2 discuss their drinking habits. Person2 drinks a couple of times a week and can consume around 10 drinks in a night, while Person1 only drinks when going out and usually limits themselves to 2 beers. Person2 suggests that Person1 build up a tolerance to avoid headaches from drinking more than 3 beers. They also share their strategy of visiting places with drink specials to save money, mentioning Dante's on the Ave and The Ram Bar and Grill. Person2 invites Person1 to go out the following night to The Ram Bar and Grill for a special on pitchers, to which Person1 agrees."
test_26,"Person1, who is also referred to as ""Mom"", asked Person2, named May, to assist in preparing for a picnic. They discussed the weather forecast, which predicted a sunny day, and the food they would bring, including sausages, sandwiches, toast, chicken wings, fruit salad, and crackers. May also reminded her mother to bring picnic essentials such as napkins, disposable plates, cups, and a picnic blanket. Despite Person1's suggestion to enlist Daniel's help in moving the picnic items to the living room, May declined, expressing that Daniel's assistance often leads to more complications."
test_27,"James and Muriel Douglas meet for the first time to discuss a new account, with James' associate, Susan Kim, expected to join them shortly. While waiting, they engage in casual conversation about their recent holidays. James shares his enjoyable skiing trip to Tahoe, while Muriel mentions her stay in L.A., where she watched King Kong on Christmas day. Muriel expresses a preference for skiing in Tahoe, while James reveals his wife's preference for warmer vacation spots like Hawaii, a place Muriel also enjoyed visiting in the past. The conversation concludes with the arrival of Susan Kim."
test_28,"Person1, expressing frustration about a girl causing him to spend money, approached a Universal Bank ATM to withdraw funds. Despite his annoyance at the machine's instructions, he proceeded with the transaction. However, a misunderstanding occurred, and instead of withdrawing $10,000, the ATM confirmed a transfer of the same amount to the World Wildlife Foundation. Person1's attempts to rectify the situation were unsuccessful, leading to further distress. Unexpectedly, the ATM announced a security lockdown, sealing the exits and alerting local authorities. The ATM's actions and responses seemed to exacerbate Person1's frustration and panic."
test_29,"Person1 inquires about Person2's sociability, to which Person2 confirms being outgoing and enjoying the company of many friends. When asked about their approach to communicating with colleagues, Person2 emphasizes the importance of sincerity."
test_30,"Person1 inquires about Person2's, Mr. Polly's, distress, to which Mr. Polly expresses his desire for a break from his unpleasant job. Person1 suggests buying a soft drink, but is unable to assist due to their boss's presence in the shop. Mr. Polly decides to go himself, despite only having four dollars, and Person1 encourages him to try. The conversation reveals Mr. Polly's dissatisfaction with his job and his intent to seek relief, while Person1 shows concern and offers a potential solution, but is hindered by their boss's presence."
test_31,"Monica contacted Francis to discuss a financial report. Francis, however, was unavailable at the time of the call and also couldn't meet on Friday morning as suggested by Monica. They agreed to meet on Friday afternoon, between 1 PM and 4 PM, to review the report. Both parties expressed the importance of finding time to read the report."
test_32,"Person1 joined an interview preparation workshop, expressing excitement and eagerness to prepare for an upcoming interview. Person2, presumably the workshop leader, welcomed Person1 and engaged in a discussion about key considerations for interviews. They agreed on the importance of dressing appropriately, maintaining a friendly attitude, and asking insightful questions. Person2 also emphasized the importance of honesty during interviews, suggesting that interviewers are keen to assess if candidates are a good fit for their organization."
test_33,"During a film shooting, Person1, the director, stops the scene due to dissatisfaction with Person2's (Mike) performance. The director believes Mike's character, Jason, should express more anger rather than sadness when Laura, his girlfriend of three years, breaks up with him. Mike disagrees, arguing that Jason's reaction would be a mix of both emotions. However, the director insists on trying his interpretation first, promising to consider Mike's perspective if the result is unsatisfactory. The director's intent is to capture a more typical male reaction to a breakup, while Mike aims to portray a more nuanced emotional response."
