TestID,Summary
test_0,"Person1 asks Person2 to take a dictation for an intra-office memorandum. Person1 informs that all office communications should be restricted to email and official memos, and the use of Instant Message programs during working hours is prohibited. Person2 asks if this restriction applies to external communications as well. Person1 confirms that it applies to all communications. Person2 raises concerns about employees using Instant Messaging to communicate with clients. Person1 insists on changing communication methods and emphasizes the time wasted by Instant Messaging. Person2 continues with the memo, stating that the new policy applies to both internal and external communications. Person1 adds that employees who persist in using Instant Messaging will receive a warning and probation, and termination for a second offense. Person2 asks if there is anything else, and Person1 instructs to type up and distribute the memo before 4 pm."
test_1,"Person2 arrives late due to traffic congestion near the Carrefour intersection. Person1 suggests finding an alternative route or using public transport. Person2 agrees to consider taking public transport, acknowledging its benefits for the environment and stress reduction. Person1 suggests biking to work when the weather is nicer. Person2 agrees and decides to quit driving to work for the sake of their health and the environment."
test_2,"Person1 informs Person2 that Masha and Hero are getting divorced. Person2 expresses surprise and asks for more details. Person1 explains that they have been separated for 2 months and have filed for divorce. Person2 is shocked and wonders about the custody of their children. Person1 says that Masha seems calm and reasonable, and there is no fighting over assets. Person2 comments on how unusual this is and expresses disbelief. Person1 predicts that the divorce will be finalized early in the New Year."
test_3,Person1 wishes Brian a happy birthday and gives him a gift. Brian is happy and invites Person1 to join the party. Person1 asks Brian for a dance and he agrees. Person1 compliments the party and Brian's popularity. Brian compliments Person1's appearance and they discuss her outfit. Person1 thanks Brian and they suggest having a drink together to celebrate his birthday.
test_4,"Person1 expresses admiration for the size of the Olympic park. Person2 confirms that they are currently in the Olympic stadium, the center of the park. Person1 asks when the stadium will be finished. Person2 responds that the stadium will be finished in June. Person1 is surprised by the size of the stadium and asks how many seats there are. Person2 answers that there are 5000 seats in total. Person1 expresses their surprise again. Person2 points out the tracks and jumping pit. Person1 notices a sign that says ""No climbing"" and Person2 explains that they have put up signs with English translations for foreign visitors."
test_5,"Person1 is frustrated with their current job and decides to quit and start their own company. Person2 warns Person1 about the challenges of writing a business plan, including the need for an executive summary, company description, market analysis, and financial analysis. Person1 realizes starting a business is more complicated than they thought and decides to stick with their current job."
test_6,"Person1 asks Person2 why they are scratching so much. Person2 explains that they feel itchy and may be coming down with something, feeling lightheaded and weak. Person1 takes a look and realizes that Person2 may have chicken pox and tells them to stay away because it is contagious. Person2 suggests that it may just be a rash or allergy and they should see a doctor to be sure. Person1 expresses concern about not having had chicken pox before and the potential dangers of getting it as an adult. Person2 dismisses the seriousness and decides to take an oatmeal bath."
test_7,Person2 is checking out of the hotel and asks Person1 for their bill. Person2 notices a charge of $30 for laundry service that they did not use. Person1 apologizes and promises to correct the mistake. Person2 accepts the apology and receives the corrected bill.
test_8,Person1 desperately asks for Person2's help because their wife has discovered their affair with their secretary and wants a divorce. Person2 expresses disbelief and questions how Person1 could cheat on their wife after being married for ten years. Person1 admits their wrongdoing and claims that the affair only lasted for two months and that they still love their wife. Person2 promises to try their best to convince the wife to reconsider the divorce but asks if Person1 can guarantee their faithfulness in the future. Person1 swears that they will be faithful from now on.
test_9,"Person1 asks Person2 about someone who they consider to have sound character. Person2 mentions Abraham Lincoln as an example, highlighting his famous acts of kindness and perseverance. Person1 agrees and adds that Lincoln also had a strong vision and fought for equal rights. Person2 expresses admiration for Lincoln's humility and expresses a desire to have met him personally."
test_10,"Person1 asks Person2 about their trip destination. Person2 suggests Hebei. Person1 expresses concern about severe sandstorms in the north of China. Person2 is surprised and asks for more information. Person1 explains that Hebei has been experiencing strong winds and sandstorms. Person2 asks about the impact of these storms on people. Person1 mentions that respiratory tract infections tend to increase after sandstorms due to the irritation caused by the sand. Person2 concludes that sandstorms are troublesome for everyone, and Person1 agrees."
