TestID,Summary
test_0,Person1 asks Person2 to take dictation for a memo announcing a new policy prohibiting the use of Instant Messaging in the office.
test_1,"Person1 is happy that Person2 has arrived and asks why they took so long. Person2 explains traffic near Carrefour intersection. Person1 suggests finding a different route, but Person2 thinks it's impossible. Person1 suggests public transport, which Person2 agrees with for the environment. Person1 mentions less stress with the subway, and Person2 agrees biking could provide freedom. Person1 asks if Person2 will quit driving, and Person2 confirms they will for health and environmental reasons."
test_2,Masha and Hero are getting divorced after being separated for 2 months. The divorce seems amicable and will likely be finalized early next year.
test_3,"Person1 wishes Person2 a happy birthday, gives a gift, and is invited to the party. They dance, compliment each other, and suggest having a drink to celebrate."
test_4,"Person 1 admires the size of the Olympic park, while Person 2 confirms they are in the stadium. The stadium will be finished in June, with 5000 seats. Person 1 notices the tracks and jumping pit, and a sign prohibiting climbing, which Person 2 explains is for foreign visitors."
test_5,Person1 considers quitting their job to start a business but is discouraged by the complexity of writing a business plan.
test_6,"Person1 asks Person2 why they are scratching so much. Person2 explains feeling itchy and possibly sick, while Person1 suspects chicken pox. Person2 suggests seeing a doctor, but Person1 worries about getting infected. Person2 dismisses concerns and opts for an oatmeal bath."
test_7,"Person1 assists Person2 with their check-out and bill, but there is a discrepancy with a $30 charge for laundry service. After investigating, Person1 admits the mistake and presents the corrected bill to Person2."
test_8,"Person1 confesses to cheating on their wife, leading to divorce. Person2 questions their actions and promises to help reconcile if Person1 can guarantee future faithfulness."
test_9,"Person1 and Person2 discuss Abraham Lincoln's sound character, mentioning his acts of kindness, perseverance, courage, and humility."
test_10,"Person1 suggests Hebei as a good place for a trip, but Person2 expresses concern about severe sandstorms in the area."
test_11,"Person1 is grateful for Person2's presence at their birthday party and receives a remote car model as a gift, which they love."
test_12,"Tony confesses to Steven that he cheated and feels ashamed after getting caught by the teacher, fearing his father's anger. Steven advises him to study instead. Tony acknowledges his mistake and expresses remorse, while Steven assures him that learning from it is important."
test_13,"Tom tells Person1 that it is ten to nine, Person1 realizes they are late and need to catch a train at nine-thirty. Tom reassures them they have enough time."
test_14,"Person1 seeks advice from Person2 on adjusting their life. Person2 notices Person1's pale appearance and asks about their sleep. Person1 admits to having trouble sleeping and mentions drinking a lot of wine. Person2 advises against excessive drinking and suggests getting plenty of sleep. Person1 mentions feeling tired and Person2 recommends morning exercise. Person1 reveals feeling the shadow of death and Person2 reassures them, encouraging them to take their advice."
test_15,"Person1 invites Person2 to a party, mentioning that it is Ruojia's party and that Ruojia recently got married. Person2 expresses happiness and they discuss the details of the party."
test_16,"Person1 teaches Person2 how to use a strip, but Person2 worries about making enemies. Person1 dismisses this and questions gender, while Person2 finds the action cruel. Person1 eventually hands over the strip."
test_17,"Person2 describes his sister as tall and pretty, and mentions that they both share friendly and easy-going personalities. However, Person2 admits that his sister is not as clever as him, leading to a playful exchange between the two."
test_18,"Person1 asks for help with a headache, Person2 suggests taking temperature, Person1 agrees, Person2 advises calling in sick next time."
test_19,"Person2 is in the market for a new mobile phone that has a camera, MP3 player, and video call feature."
test_20,"Person2 tells Person1 about their new job at the Post Office, mentioning the demanding work schedule but highlighting the excellent health insurance benefits for their family."
test_21,"Person2 has special skills in computer programming and secretarial work, with qualifications including a doctor license and driving license. They have received training in office skills, including passing the Cambridge Examinations and studying at the Lucas Secretarial College in London. They have previous work experience in typing, shorthand, and operating office equipment, including fax machines and IBM-PCs."
test_22,"Person1 politely informs Person2 of undercooked steak, Person2 apologizes and offers a replacement, Person1 agrees and expresses gratitude."
