TestID,Summary
FR_20091112_RATP_SCD_0826,"Le client a appelé pour obtenir des informations sur les horaires des trains RER de la ligne E, de Meaux à Paris Gare de l'Est, pour le jour même aux environs de 17 heures. L'agent a pu fournir les horaires demandés, indiquant un départ à 16h49 et un autre à 17h19. Le client a remercié l'agent pour les informations fournies et a terminé l'appel. Le problème principal de l'appel, à savoir la demande d'horaires de train, a été résolu lors de cet appel."
FR_20091112_RATP_SCD_0765,"Le client appelle au nom d'une collègue qui a reçu une amende de la RATP pour avoir voyagé sans titre de transport valide, car elle avait perdu sa carte Navigo. Le client est préoccupé par le montant de l'amende et estime que c'est injuste étant donné que sa collègue est une utilisatrice régulière de la RATP. L'agent explique que c'est la procédure standard et que l'amende est justifiée car la collègue n'avait pas sa carte sur elle au moment du contrôle. Cependant, l'agent propose une solution : la collègue peut se rendre au bureau de la RATP avec le PV et sa carte Navigo pour discuter de l'amende. Le client exprime des préoccupations quant à la commodité de cette solution, car sa collègue travaille. L'agent propose alors une autre option : envoyer par courrier l'original du PV et une photocopie de la carte Navigo à l'adresse indiquée, avec une lettre explicative. Le client semble satisfait de cette solution."
FR_20091112_RATP_SCD_0268,"Le client a appelé pour demander si un dossier pour une carte Imagine+R pourrait lui être envoyé. L'agent a expliqué que les dossiers pour les abonnements Imagine+R sont disponibles à tous les guichets des gares et des stations, et ne sont pas envoyés par le service Imagine+R. Le client a exprimé sa réticence à se déplacer pour récupérer le dossier. L'agent a alors proposé de donner le numéro de téléphone du service Imagine+R au client pour qu'il puisse les contacter directement. Le client a accepté et a noté le numéro de téléphone fourni par l'agent. Le problème principal de l'appel a été résolu avec cette information."
FR_20091112_RATP_SCD_0346,"Le client a appelé pour obtenir des indications sur la façon de se rendre du 37 boulevard de Charonne au 64 boulevard de Belleville à Paris. Il y a eu une certaine confusion initiale sur l'adresse exacte, mais cela a été clarifié par la suite. L'agent a suggéré au client d'emprunter la ligne 2 du métro en direction de Porte Dauphine et de descendre à la station Couronnes, qui est à proximité du 64 boulevard de Belleville. Le client a accepté cette solution et a remercié l'agent pour son aide. L'appel a été résolu lors de cette conversation."
FR_20091112_RATP_SCD_0761,"Le client a appelé pour demander le renouvellement de son contrat de carte Navigo Intégrale par fax. L'agent a expliqué que ce service n'est pas disponible par téléphone et a suggéré au client de se rendre en agence commerciale. Le client a insisté pour obtenir une attestation de renouvellement plutôt qu'une attestation de paiement. L'agent a alors fourni le numéro de téléphone du gestionnaire de la carte Intégrale pour une assistance supplémentaire. Le problème principal de l'appel, à savoir le renouvellement du contrat de la carte Navigo, n'a pas été résolu lors de cet appel. Le client a été redirigé vers un autre service pour une résolution potentielle."
FR_20091112_RATP_SCD_0756,"Dans cette conversation, le client (Spk_C) a appelé pour se renseigner sur la compensation et l'indemnisation suite aux grèves qui ont perturbé ses voyages. L'agent (Spk_B) a informé le client qu'il n'y avait pas encore de note officielle permettant ce remboursement ou cette compensation. Il a conseillé au client de rappeler la semaine prochaine ou à la fin du mois pour obtenir des informations plus précises. Le client a accepté ce conseil et a décidé d'attendre. Le problème principal de l'appel, à savoir la demande d'information sur la compensation et l'indemnisation, n'a pas été résolu lors de cet appel, car l'agent n'a pas pu fournir d'informations concrètes. Il n'y avait pas de sous-problèmes dans cette conversation."
FR_20091112_RATP_SCD_0503,"Dans cette conversation, le client, qui n'est pas de la région parisienne, a besoin d'aide pour se rendre à la Gare de Lyon à partir de Clichy. Le problème principal est donc de trouver le moyen le plus rapide pour le client de se rendre à la Gare de Lyon. L'agent propose une solution en suggérant de prendre le métro ligne 13 à la mairie de Clichy en direction de Châtillon, puis de descendre à Saint-Lazare pour prendre le métro ligne 14 en direction des Olympiades jusqu'à la Gare de Lyon. Le client demande également s'il est possible de se rendre à la Gare de Lyon en train, ce qui constitue un sous-problème. L'agent informe le client qu'il n'est pas possible de se rendre à la Gare de Lyon en train à partir de Clichy. La conversation se termine par la résolution du problème principal, le client ayant maintenant un itinéraire clair pour se rendre à la Gare de Lyon."
FR_20091112_RATP_SCD_0779,"Le client (Spk_B) a appelé pour demander une attestation d'abonnement à partir d'avril 2009, car son employeur a besoin de cette attestation pour rembourser la moitié de son abonnement. L'abonnement en question est un abonnement Intégrale. L'agent (Spk_A) a suggéré deux solutions : soit le client se rend directement dans une agence commerciale, soit il appelle un numéro de téléphone spécifique. Le client a choisi la deuxième option et l'agent lui a fourni le numéro de téléphone. Le problème principal de l'appel a été résolu avec cette information."
FR_20091112_RATP_SCD_0870,"Le client (la femme d'un employé de la RATP) a appelé pour se renseigner sur la possibilité de bénéficier d'une réduction sur les titres de transport grâce à l'emploi de son mari. L'agent a confirmé que cela est possible et a expliqué que son mari doit faire une demande auprès de son service administratif pour obtenir une carte de famille d'agent, qui offre une réduction de 50% sur les carnets de billets. Cependant, l'agent a précisé que cette réduction ne s'applique pas aux cartes Orange ou autres types de titres de transport. Le problème principal de la cliente a été résolu lors de cet appel."
FR_20091112_RATP_SCD_0905,"Dans cette conversation, le client (Spk_C) a appelé pour obtenir des informations sur la meilleure façon de se rendre à une adresse spécifique, le 30 rue de Reuilly, à partir de sa position actuelle à la Porte de Vincennes. L'agent (Spk_B) a d'abord cherché à clarifier l'arrondissement dans lequel se trouve la rue de Reuilly, qui est le 12ème. Le client a également demandé quelle était la station de métro la plus proche de cette adresse.

L'agent a ensuite informé le client qu'il devrait descendre à la station Reuilly-Diderot sur la ligne 8 ou 1 du métro. Un sous-problème est apparu lorsque le client a demandé s'il y avait une sortie spécifique de la station de métro qui donnait sur la rue de Reuilly. L'agent a expliqué que la rue de Reuilly est à l'intersection des sorties de la station de métro, donc peu importe la sortie que le client prend, il sera proche de sa destination.

La conversation s'est terminée avec le client remerciant l'agent pour son aide, indiquant que le problème principal et le sous-problème ont été résolus lors de cet appel."
FR_20091112_RATP_SCD_0758,"Le client, représentant une agence du Ministère des Affaires étrangères, organise un séminaire à Paris et souhaite fournir une carte de transport à une cinquantaine de participants venant de l'étranger. Il contacte le service client de la RATP pour savoir s'ils disposent d'un service grand compte ou professionnel. L'agent confirme que la RATP dispose d'un tel service, mais précise qu'il faut un minimum de 150 euros de commande. Le client est d'accord avec cette condition. Le client souhaite obtenir un numéro de téléphone direct pour le service grand compte, mais l'agent informe qu'il n'y a pas de ligne directe et propose de transférer l'appel. Le client est ensuite mis en relation avec le service grand compte pour passer sa commande. Le problème principal de l'appel - la demande d'information sur le service grand compte - a été résolu. Il n'y avait pas de sous-problèmes dans cette conversation."
