TestID,Summary
FR_20091112_RATP_SCD_0826,"Le client appelle pour obtenir des horaires de train pour la ligne RER de Meaux à Paris. Il demande les horaires pour un départ aux environs de 17 heures. L'agent recherche les horaires et lui donne deux options : un départ à 16h49 et un autre à 17h19. Le client remercie l'agent et l'appel se termine.

Le problème principal de l'appel est la demande des horaires de train pour la ligne RER de Meaux à Paris. Les sous-problèmes incluent la clarification de la ligne de train (RER) et la spécification de l'heure de départ (aux environs de 17 heures).

L'appel est résolu au cours de cet appel, car l'agent fournit les horaires demandés au client."
FR_20091112_RATP_SCD_0765,"Synopsis :

Le client appelle pour une collègue qui a reçu une amende de la RATP pour défaut de titre de transport régulier dans un bus. La collègue ne peut pas payer l'amende car elle a perdu sa carte Navigo et n'a pas les moyens suffisants. Le client trouve cela anormal et pense que l'amende de 62 euros est trop élevée. L'agent explique que c'est normal d'être verbalisé si on ne peut pas présenter son titre de transport et compare la situation à celle d'un PV pour oubli de permis de conduire. L'agent conseille à la collègue de se rendre au bureau de la RATP au 31 rue Belliard dans le 18e arrondissement avec le PV et sa carte Navigo pour régler la situation. Le client demande s'il est possible de contacter la RATP par téléphone ou par courrier, mais l'agent explique qu'il n'est plus possible de les joindre par téléphone et que la correspondance doit se faire par courrier. Le client demande si la collègue peut envoyer une lettre avec les photocopies des documents demandés, car elle travaille et n'a pas le temps de se rendre sur place. L'agent confirme que c'est possible et précise les documents à fournir : l'original du PV, la photocopie du passe Navigo et une lettre explicative. La conversation se termine sur une note de remerciement et de salutations.

Points principaux de la conversation :
1. Problème principal : Amende pour défaut de titre de transport régulier dans un bus.
2. Sous-problèmes : Perte de la carte Navigo, incapacité de payer l'amende, difficulté à se rendre au bureau de la RATP.
3. Résolution de l'appel : La résolution de l'appel dépendra de l'action de la collègue pour régler l'amende en se rendant au bureau de la RATP ou en envoyant les documents par courrier."
FR_20091112_RATP_SCD_0268,"Le client appelle pour obtenir des informations sur la carte Imagine+R et demande si un dossier peut lui être envoyé pour faire une demande de carte. L'agent explique que les dossiers ne sont pas envoyés par courrier, mais sont disponibles dans tous les guichets. Le client indique qu'elle ne souhaite pas se déplacer et demande le numéro de téléphone du service Imagine+R. L'agent lui donne le numéro et la conversation se termine.

Le problème principal de l'appel est la demande d'informations sur la carte Imagine+R et la possibilité d'obtenir un dossier d'abonnement.

Les sous-problèmes de la conversation sont les suivants :
- Le client demande si un dossier peut lui être envoyé par courrier.
- L'agent explique que les dossiers ne sont pas envoyés par courrier, mais sont disponibles dans les guichets.
- Le client demande le numéro de téléphone du service Imagine+R.

L'appel est résolu car l'agent a fourni au client les informations demandées."
FR_20091112_RATP_SCD_0346,"Résumé :

Le client appelle pour demander des indications pour se rendre de l'adresse 37 boulevard de Charonne dans le 11e arrondissement à l'adresse 64 rue de Belleville dans le 20e arrondissement. Le client confirme que c'est bien le 64 boulevard de Belleville. L'agent propose d'utiliser le métro et indique que la station la plus proche est Couronne sur la ligne 2 en direction de Porte Dauphine. Le client confirme qu'il descendra à la station Couronne et l'agent précise que la sortie de la station mène directement au boulevard de Belleville où se trouve le numéro 64. Le client remercie l'agent et la conversation se termine.

Points de vue :

Client : Le client appelle pour demander des indications pour se rendre de l'adresse 37 boulevard de Charonne dans le 11e arrondissement à l'adresse 64 rue de Belleville dans le 20e arrondissement. Il confirme l'adresse et suit les indications données par l'agent.

Agent : L'agent aide le client en lui proposant d'utiliser le métro ligne 2 en direction de Porte Dauphine et de descendre à la station Couronne. Il indique également que la sortie de la station mène directement au boulevard de Belleville où se trouve l'adresse demandée. L'agent conclut la conversation en souhaitant une bonne journée au client."
FR_20091112_RATP_SCD_0761,"Le client appelle pour demander le renouvellement de son contrat de carte Navigo. L'agent lui explique qu'il doit se rendre en agence pour obtenir une attestation de paiement. Le client précise qu'il souhaite plutôt une attestation indiquant qu'il possède la carte Intégrale. L'agent lui donne alors le numéro du gestionnaire de la carte Intégrale. Le client note le numéro et remercie l'agent. L'appel se termine sur des salutations cordiales.

Le problème principal de l'appel est le renouvellement du contrat de la carte Navigo. Le sous-problème est la demande d'une attestation de possession de la carte Intégrale. L'appel n'a pas résolu le problème du client, car il doit se rendre en agence pour obtenir l'attestation demandée."
FR_20091112_RATP_SCD_0756,"Le client (Spk_C) appelle pour demander des informations sur la compensation et l'indemnisation suite aux récentes grèves. L'agent (Spk_B) explique que pour le moment, il n'y a pas encore de note officielle concernant le remboursement ou la compensation. Il suggère au client de rappeler la semaine prochaine ou à la fin du mois pour obtenir des informations plus précises. Le problème principal de l'appel est donc la demande d'informations sur la compensation et l'indemnisation. Le sous-problème est l'absence d'informations officielles à ce sujet. L'appel n'a pas résolu le problème du client, car aucune information concrète n'a été fournie."
FR_20091112_RATP_SCD_0503,"Le client, Mme C, appelle pour demander des indications sur la façon de se rendre à la Gare de Lyon depuis Clichy. Elle mentionne qu'elle est perdue car elle n'est pas de la région parisienne. L'agent, M. B, lui demande plus de détails sur son point de départ à Clichy, et Mme C précise qu'elle se trouve à la station de métro treize. M. B lui explique alors qu'elle doit prendre le métro treize en direction de Châtillon et descendre à Saint-Lazare. Ensuite, elle doit prendre le métro quatorze en direction d'Olympiades jusqu'à la Gare de Lyon. Mme C demande si elle peut également prendre le train, mais M. B lui explique que ce n'est pas possible. Finalement, Mme C remercie l'agent et lui souhaite une bonne journée.

Dans cette conversation, le problème principal est de savoir comment se rendre à la Gare de Lyon depuis Clichy. Les sous-problèmes incluent les détails sur le point de départ à Clichy et les différentes étapes du trajet en métro. L'appel est résolu car l'agent a fourni des instructions claires à Mme C pour se rendre à sa destination."
FR_20091112_RATP_SCD_0779,"Le client appelle pour demander une attestation d'abonnement afin de pouvoir se faire rembourser la moitié de son abonnement par son employeur. L'agent propose deux options : se rendre directement dans une agence commerciale ou contacter le service client par téléphone. Le client choisit de contacter le service client par téléphone et l'agent lui communique le numéro à composer. L'appel se termine avec des remerciements et des salutations de part et d'autre.

Questions principales de la conversation :
- Le client demande une attestation d'abonnement pour pouvoir se faire rembourser par son employeur.

Sous-problèmes de la conversation :
- Le client précise qu'il a besoin de l'attestation depuis avril 2009.
- L'agent propose deux options : se rendre en agence ou contacter le service client par téléphone.
- Le client choisit de contacter le service client par téléphone.

Résolution de l'appel :
- L'appel se termine sans que l'attestation d'abonnement ne soit encore fournie."
FR_20091112_RATP_SCD_0870,"Résumé : Le client appelle pour obtenir des informations sur les réductions dont elle peut bénéficier en tant que conjoint d'un employé de la RATP. L'agent lui explique qu'elle peut obtenir une carte de famille d'agent qui lui permettra d'obtenir une réduction de 50% sur les titres de transport, mais uniquement sur les carnets de tickets et non sur les cartes Orange. Le problème principal de l'appel est donc de savoir si le client peut bénéficier d'une réduction en tant que conjoint d'un employé de la RATP. Le sous-problème est de savoir quelles sont les conditions pour obtenir cette réduction. L'appel est résolu car l'agent a fourni les informations demandées et le client a remercié l'agent avant de raccrocher."
FR_20091112_RATP_SCD_0905,"Résumé de la conversation :

Le client appelle pour demander quel métro prendre pour se rendre au 30 rue de Reuilly. L'agent demande dans quel arrondissement se trouve cette rue, et le client répond qu'elle se trouve dans le 12ème arrondissement. L'agent recherche alors la station de métro la plus proche et informe le client qu'il doit descendre à la station Reuilly-Diderot, sur la ligne 8 ou une autre ligne. Le client demande s'il y a une sortie rue de Reuilly, et l'agent vérifie. L'agent explique que la rue de Reuilly est à l'intersection des sorties de métro, et que si le client sort du mauvais côté, il suffit de traverser le boulevard. Le client remercie l'agent et l'appel se termine.

Questions principales de la conversation : 
- Quel métro prendre pour se rendre au 30 rue de Reuilly ?
- Y a-t-il une sortie rue de Reuilly à la station Reuilly-Diderot ?

Sous-problèmes de la conversation :
- Identification de l'arrondissement où se trouve la rue de Reuilly.
- Recherche de la station de métro la plus proche.
- Vérification de l'existence d'une sortie rue de Reuilly à la station Reuilly-Diderot.

Résolution de l'appel : 
Le problème du client a été résolu au cours de cet appel, car l'agent a fourni les informations demandées sur la station de métro à prendre et sur l'existence d'une sortie rue de Reuilly."
