id,references,prediction,Average_ROUGE,Average_BERTScore,Difference
246,"[""Tim's project is about how to lead a greener life. #Person1# consults about his motivation and his findings at school. Tim finds there are many aspects that can be improved for his school."", ""Tims is talking about his greener life. He now rides his bike to school and recommends teachers to send electrical paper rather than paper ones. And he thinks the school shouldn't have machines with bottled drinks."", ""Tim chooses a green-life-related project because he wants to see what he could do in his own life. He's started being greener with himself and influences others.""]","#Person2# proposes eco-friendly changes at school and personal life, inspired by environmental science lessons.",0.0677,0.8681,0.8004
232,"['#Person1# asks #Person2# about past experiences of living in different cities around the world.', '#Person1# is asking #Person2# about the places that #Person2# has stayed or lived.', ""#Person1# and #Person2# talk about #Person2#'s experience. #Person2# moves a lot. #Person1# finds it interesting.""]",#Person2# shares their life journey from Chicago to Los Angeles and Munich with #Person1#.,0.0929,0.8926,0.7996
283,"[""#Person2# wants to buy some clothes but #Person1#'s recommendation doesn't interest #Person2#."", '#Person1# gives #Person2# a few suggestions on clothes but none is taken.', ""#Person2# is not happy with #Person1#'s recommendeds.""]","Salesperson suggests brown, silk, and cotton dresses to a customer who prefers a white dress for the warm season.",0.0417,0.8396,0.7979
433,"['Amy is talking about her first job experience and later job with #Person1#.', 'Amy tells #Person1# about her first job experience and her current job.', 'Amy shares her former work experience and her current job with #Person1#.']","Amy, after starting as a secretary in 1998, became a Personnel Manager, then moved to Sales due to salary dissatisfaction.",0.0619,0.857,0.7951
379,"['#Person1# interviews Vet, a high school girl who has become a mother. She shows her love to her daughter and talks about her future plans and gives advice to teens.', 'Vet tells her own experience as a young mother and how her daughter changes her. Then she tells #Person1# her future goals and dreams. And she also gives teens advice.', '#Person1# is interviewing Vet and asking her about the ways she deals with stress as a young mother, feelings of having a baby, plans for the future, her favorite quote, and advice for teens.']","#Person2# discusses stress coping mechanisms, the impact of motherhood, future ambitions, and advises teenagers on self-love and independence.",0.1183,0.8975,0.7792
140,"[""#Person1# calls #Person2# to tell him that she was wrong to get upset over nothing and tells #Person2# she is pregnant. #Person2# feels happy. They go to the doctor. #Person2# finds out the baby isn't his because he was away the first week of February at a training seminar."", ""#Person1# calls #Person2# to tell him that she was wrong to get upset over nothing and tells him that she's pregnant. They go to see the doctor. However, #Person2# finds out the baby isn't his because he was away the first week of February at a training seminar."", ""#Person1# apologises to #Person2# after the quarrel and tells #Person2# she's pregnant. #Person2# feels so happy and they decide to see the doctor. After the pregnancy test about the date, #Person2# finds that it is not his baby, because he was away the first week of February at a training seminar.""]","Couple reconciles, learns of pregnancy, but timing raises questions about the baby's paternity, causing shock and disbelief.",0.0773,0.8558,0.7785
497,"['Alice guides #Person1# to use the washing machine and the dryer. Alice began to wash her clothes at the age of 12, but #Person1# has never done that before.', ""#Person1# asks Alice how to use the washing machine and the right way to wash clothes on campus. #Person1# tells Alice it's #Person1#'s mother who does all the washing at home."", ""#Person1# doesn't know how to use the washing machine and asks Alice for help. Alice tells #Person1# how to use it. #Person1#'s never washed clothes before because #Person1#'s mother did the washing for #Person1#.""]","#Person1# seeks Alice's help in learning laundry basics, revealing cultural differences in household responsibilities.",0.1104,0.8704,0.76
477,"['Harry tells #Person1# that he was almost hit by a car and he will be more careful next time.', 'Harry tells #Person1# that he crossed the street while reading the newspaper and almost got hit by a car.', 'Harry tells #Person1# he was almost hit by a car and he will be more careful next time.']","#Person2# narrowly escapes car accident, resolves to be more cautious; both agree reckless drivers should be penalized.",0.1312,0.8883,0.7571
434,"[""Andrew is on the diet according to a junk mail. His elder sister thinks he's scammed and hopes he could listen to her. She suggests he do exercises, eat smaller portions, eat well-balanced breakfast and follow up with smaller meals throughout the day, never eat late at night, throw away ice-cream, cut out the fast food, eat a lot of fresh fruits and vegetables, cut way back on sugar and drink water instead of sugary drinks. Andrew feels this is going to be tough."", ""#Person1# is surprised to see Andrew put on so much weight but Andrew tells #Person1# that to lose weight, he signs up for a Wafu Diet online for $490. #Person1# thinks he's getting scammed and suggests that he should take more exercise, eat smaller portions, eat a well-balanced breakfast, cut off fast food and sugar and eat fresh fruits and vegetables"", ""Andrew's elder sister is surprised by Andrew's putting on so much weight and figures out Andrew has probably got scammed by a junk mail. She offers Andrew systematic suggestions on living healthy and losing weight.""]","Andrew's sister confronts him about his unhealthy habits and weight gain, advising him to adopt a healthier lifestyle.",0.1235,0.8749,0.7514
211,"['Ella and Ben had a good time together. Ella gives phone number to Ben before Ben leaves.', 'Ben and Ella had a good time. Ben will call Ella next week.', 'Ben has to leave. Ella feels bad about it and gives Ben her phone number.']","#Person1# leaves after enjoyable time with #Person2#, promising to call for another meeting soon.",0.1154,0.8642,0.7488
