id,reference,prediction,ROUGE,BERTScore,Difference
10,Demande d'information sur une commande grands comptes. Transfert vers le service concerné.,Un organisateur de séminaire cherche à obtenir des cartes de transport pour ses invités internationaux auprès de la RATP.,0.0,0.7113,0.7113
110,Demande de renseignements suite à la procédure suivi après la réception d'un courrier d'amende. Transfert vers le service concerné.,Une cliente appelle le service clientèle pour comprendre pourquoi elle doit payer cinq euros suite à une amende de bus contestée et justifiée.,0.0833,0.7086,0.6253
107,"demande procédure pour remboursement suite à achat tickets car envoi tardif du passe ImaginR, attente au-delà de 3 semaines donc possible, appeler ImaginR ou par mail","Une cliente appelle pour demander le remboursement d'une carte Orange achetée en attendant sa carte Imagine+R, arrivée en retard.",0.08,0.6935,0.6135
32,circulation du T2,Un utilisateur se renseigne sur la mise en service du T+deux de la Porte de Versailles à Val d'Issy.,0.087,0.6985,0.6115
29,Demande de renseignements sur l'achat de ticket pour des groupes scolaires. Transfert vers le service concerné.,Un représentant d'une association départementale cherche à organiser le transport de plus de 100 classes via les transports en commun.,0.1026,0.7105,0.608
20,Erreur d'appel. Appelant souhaitant joindre l'assurance maladie au 3646 et non la RATP au 3246.,Un homme appelle le mauvais service client pour résoudre un problème de facturation médicale suite à un séjour aux Antilles.,0.05,0.6532,0.6032
39,info sur l'existence d'un bus reliant le RER station Javel à une rue à Boulogne,Un appelant demande des directions pour se rendre à la rue Vauthier à Boulogne depuis la station Javel sans utiliser le métro.,0.1667,0.7661,0.5995
198,"La cliente voudrait connaître le trafic sur le RER B. Elle n'est pas du tout satisfaire puisqu'il est annoncé 3 trains sur 4, mais il y en a moins. L'agent lui propose de rappeler 15 minutes avant son départ pour savoir oà¹ se situe le prochain train qui l'intéresse.",Une usagère du RER B se plaint de la fiabilité des informations de trafic et demande des précisions pour son trajet du soir.,0.0988,0.698,0.5992
5,Demande d'indemnisation du au grève. Appeler plus tard pour avoir plus d'informations.,Un voyageur s'informe sur une éventuelle compensation suite aux grèves. On lui conseille d'attendre une annonce officielle.,0.1143,0.7006,0.5863
136,"réclamation sur les incohérences dans l'information sur la grève RER B, conversation dégénérant en monologue puis insultes",Une cliente mécontente appelle la RATP pour se plaindre des retards causés par la grève et demande des informations sur le trafic du lendemain.,0.1176,0.701,0.5834
92,"réclamation suite à réception d'un courrier demandant le paiement d'une partie de l'amende alors qu'elle était reconnue comme injustifié car conséquent à un problème de renouvellement du navigo, transfert au centre de paiement",Une cliente appelle le service clientèle pour comprendre pourquoi elle doit payer cinq euros suite à une amende de bus contestée et justifiée.,0.125,0.6994,0.5744
