TestID,Summary
test_0,"Person1 asks Person2 to take dictation for a memo, stating that all office communications should be restricted to email and official memos. Person2 asks if this applies to external communications, and Person1 confirms it does. Person2 raises concerns about clients using Instant Messaging, but Person1 insists on changing communication methods. Person2 includes this in the memo, and Person1 adds consequences for using Instant Messaging. Person2 asks if there is anything else, and Person1 instructs to distribute the memo before 4 pm."
test_1,Person2 arrives late due to traffic congestion near Carrefour intersection. Person1 suggests alternative route or public transport. Person2 agrees to consider public transport and biking to work.
test_2,Masha and Hero are getting divorced after being separated for 2 months. There is no fighting over assets and the divorce is expected to be finalized soon.
test_3,"Person1 wishes Brian a happy birthday, gives him a gift, and is invited to join the party. They dance, compliment each other, and suggest having a drink together."
test_4,"Person1 admires the size of the Olympic park, while Person2 confirms they are in the stadium. Person1 asks when it will be finished, and Person2 says June. Person1 is surprised by the size and asks about the seats. Person2 says there are 5000. Person1 is surprised again, and Person2 explains the tracks and signs for foreign visitors."
test_5,Person1 quits their job to start a business but is warned by Person2 about the challenges of writing a business plan. Person1 decides to stick with their current job.
test_6,"Person1 asks Person2 about their excessive scratching. Person2 suspects they may have chicken pox, but Person1 is worried about contracting it as an adult."
test_7,"Person2 finds an incorrect charge on their hotel bill, Person1 apologizes and promises to fix it, and Person2 receives the corrected bill."
test_8,"Person1 seeks Person2's assistance after their wife discovers their affair and demands a divorce, while Person2 questions their actions and offers to help reconcile if Person1 can promise future faithfulness."
test_9,"Person2 mentions Abraham Lincoln as an example of someone with sound character, highlighting his kindness, perseverance, and humility."
test_10,"Person1 expresses concern about sandstorms in Hebei, China. Person2 asks for more information and learns about the impact on people."
test_11,"Person1 thanks Person2 for coming to their birthday party and receives a remote car model as a gift. Person2 admits struggling to give it, but Person1 appreciates it."
test_12,"Person2 admits to cheating and failing a test, feeling ashamed and scared of their father's response. Person1 advises them to study and grow from the experience."
test_13,"Person1 asks Person2 for the time, realizing it's almost nine. Person1 needs to catch a train at nine-thirty, but Person2 reassures them they have enough time."
test_14,"Person1 seeks advice from Person2 on adjusting their life. Person2 suggests getting enough sleep, reducing wine consumption, exercising, and reassures Person1 about their future."
test_15,"Person1 invites Person2 to Ruojia's party, revealing that Ruojia recently got married. Person2 expresses surprise and happiness."
test_16,"Person1 explains how to use a strip and finds it fun, while Person2 disagrees and finds it cruel."
test_17,"Person1 asks Person2 about his sister's appearance, and Person2 describes her as tall and pretty. They discuss their similarities and Person2 admits his sister is not as clever. Person1 jokingly teases Person2."
test_18,Person1 asks for help with a headache. Person2 suggests taking temperature and advises calling in sick next time.
test_19,"Person2 is in the market for a new mobile phone that has a camera, MP3 player, and video call feature."
test_20,"Person1 learns about Person2's new job at the Post Office, which has demanding hours but offers excellent health insurance benefits for family members."
test_21,"Person2 has skills in computer programming and secretarial work, with qualifications in medicine and driving. They have training in office skills and previous experience in typing, shorthand, and office equipment."
test_22,Person1 informs Person2 of undercooked steak. Person2 apologizes and offers a new steak. Person1 agrees to wait and thanks Person2.
test_23,Tom is surprised and excited to learn that his novel has won The Nobel Prize. Person1 congratulates him and suggests celebrating the win.
test_24,"Person1 doubts Person2's competence, but Person2 defends themselves by highlighting their qualifications and education in automobile design. Person1 then inquires about Person2's previous work responsibilities, and Person2 explains their role as a student engineer studying material strength and corrosion resistance."
test_25,"Person1 and Person2 discuss their drinking habits, with Person2 claiming to be able to drink more and suggesting ways for Person1 to increase their tolerance."
test_26,Person1 asks Person2 for help with a picnic. Person2 suggests items to bring and declines help from Daniel.
test_27,James thanks Person2 for agreeing to meet about the new account and mentions that Susan Kim will be joining them soon.
test_28,"Person1 is frustrated with the ATM and complains about spending money. Person2, a bank representative, greets Person1 and instructs them to insert their card. Person1 insults the machine. Person2 asks for the PIN code and confirms the withdrawal. Person1 demands their money. Person2 mistakenly mentions a transfer to a charity. Person1 protests. Person2 confirms the transfer and asks Person1 to remove their card. Person1 demands an explanation. Person2 warns of danger and informs Person1 that the bank is locked down until the authorities arrive."
test_29,Person2 describes themselves as a social and outgoing person who values sincerity in communication with colleagues.
test_30,"Person2 complains about their job, Person1 suggests a break with a soft drink, but they can't buy it due to their boss. Person2 tries with only four dollars, encouraged by Person1."
test_31,"Francis tells Monica he can't work on the financial report, they agree to meet on Friday afternoon from 1 PM to 4 PM."
test_32,"Person1 asks if the workshop is for interview preparation. Person2 confirms and welcomes Person1 to the class. Person1 expresses excitement about the workshop and their upcoming interview. Person2 mentions that everyone in the class is learning things that will help them in their interviews. Person1 shares their belief that dressing neatly and appropriately is important. Person2 agrees and adds that attitude and friendliness are also crucial. Person1 agrees and mentions feeling better when being friendly. Person2 reveals that interviewers are interested in the questions asked by candidates. Person1 asks for more interview tips. Person2 advises being honest with answers, as interviewers want to know if the candidate is a good fit."
test_33,"Person1 and Person2 discuss the direction of a scene, with Person1 wanting to show anger first and Person2 suggesting both anger and sadness. They agree to try Person1's approach."
test_34,"Person1 tells Mrs. Todd he needs to leave because his wife is waiting. Person2 understands and mentions busy weekends for working parents. Person1 visited Person2 after seeing her in the garden. Person2 admits she should have visited him first. Person1 offers to get something from the store, but Person2 declines. Person2 thanks Person1 for coming over."
test_35,Person1 asks Person2 why they look pale. Person2 explains they are tired from working late. Person1 suggests they go home early. Person1 asks about Person2's brother on a business trip. Person2 says their brother won't be back for weeks. Person1 expresses surprise. Person1 asks about the time. Person2 confirms it's 4:30.
test_36,"Person1 asks Cleo if she is going to the demonstration against nuclear weapons, but Cleo refuses due to her dislike for demonstrations and concerns about police presence. Person1 mentions North Korea's nuclear arms, but Cleo argues that the issue is complex and demonstrations are ineffective. Person1 argues that demonstrations can change politicians' minds and it's important to stand up for beliefs. Cleo disagrees, preferring to leave it to others and focus on studying. Person1 suggests asking others to join, but Cleo declines and leaves to meet her sister. Person1 says goodbye and mentions seeing Cleo in physics class tomorrow."
test_37,"Person1 accuses Person2 of allowing someone in without suspicion. Person2 defends themselves, stating that the person appeared to be from a utility company."
test_38,"Person1 asks Person2 to borrow history notes, but Person2 suggests copying them in the library instead. They agree and become study partners."
test_39,Person2 asks Professor Turner about teaching Advanced Geology next semester. Person1 confirms and expresses concern about Person2's age. Person2 explains their passion and experience. Person1 agrees to speak to another professor. Person2 is grateful.
test_40,"Person1 tells Person2 about a broken pendant they bought, Person2 agrees to replace it and asks for the receipt by 10 o'clock. Person1 is grateful."
test_41,"Person1 asks for opinions, Person2 is disinterested. Person1 complains, Person2 admits lack of attention. Argument escalates, Person1 threatens to leave."
test_42,"Person1 suggests TV news director and magazine writer jobs to Person2, who prefers working with computers and interactive media."
test_43,"Person1 asks Person2 if they are bored, and Person2 confirms. Person1 suggests finding entertainment, but Person2 complains about speeches. Person1 suggests reading or doing crosswords, but Person2 prefers comic sections. Person1 tells Person2 to be quiet as another speaker is starting."
test_44,"Person1 suggests to Person2 that they can find cheaper houses by buying a house far from the city center. Person2 agrees and Person1 mentions their satisfied sister-in-law who bought a well-maintained 50-year-old house. The area can be rough in the evening, but the neighbors are supportive."
test_45,"Person2, an information officer at the Britain Business Center in London, explains how they provide tourist information services to overseas visitors. They have a team of 10 officers who speak 13 different languages and offer suggestions for day trips and longer tours of Britain."
test_46,"Person1 and Person2 discuss their favorite subjects. Person1 likes English and PE, while Person2 prefers Chinese and finds science difficult. Nancy dislikes science."
test_47,"Person1 finishes cleaning up the yard and helps Person2 by walking their dog Oscar. Person2 is grateful for the help and mentions their broken leg. Person1 explains their family's schedule and plans to buy a bike. Person2 asks if they can still work after getting the bike, and Person1 assures them they can. They also mention being away next weekend and their sister Allison will help instead."
test_48,"Person1 and Person2 discuss the arrival of spring, complain about the cold, and decide to sit in the sun."
test_49,"Person1 suggests a scene restart due to the wrong feeling. Person2 disagrees, arguing their character would show both anger and sadness."
test_50,"Person1 takes a taxi to the Friendship Hotel, asks the driver to go faster, and is impressed with the speed."
test_51,"Person1 is financially struggling and needs money for a bus. Person2 suggests getting a free transfer from the bus driver, helping Person1."
test_52,"Person1 asks Person2 about the travel time to downtown, and Person2 says it's a 15-minute drive. Person2 also mentions famous companies in the neighborhood, including their own company on the 6th and 7th floors. Person2 confirms they have a staff restaurant at the end of the hall."
test_53,"Person1 tells Person2 about Lulu and Vic's breakup, with Lulu requesting a transfer, surprising Person2 who was unaware of their relationship."
test_54,"Dave Thomson calls Sally to speak to Jim, but Jim is not available. Sally speculates that Jim may be at the pub. Dave asks Sally to pass along the message and they say goodbye."
test_55,"Person1 asks Person2 for directions to City Hall. Person2 gives clear instructions, Person1 confirms understanding, and expresses gratitude."
test_56,"Person1 asks Person2 for help finding a lost passport, but it is not found at the department store. Person2 suggests reporting it lost and contacting the embassy."
test_57,Person1 is informed that Ms. Collins will not be available until next week and is offered an appointment with Ms. Fonda at 11:30 in the morning.
test_58,"Person1 is surprised by Sarah's decision to marry Dick despite his reputation, but Person2 explains that Sarah values love over his past."
test_59,"Person1 encourages Person2 to approach Janice at a party, despite his fear of talking to girls."
test_60,Person2 enjoyed their poli-sci class but it wasn't their favorite. Their favorite class was a business communication class.
test_61,"Person1 and Person2 discuss the weather, mentioning rain, strong winds, and dust. Person2 explains that dust is no longer a problem in Beijing due to tree planting efforts. They also discuss the beauty of fall, the scorching summer, the warm and short spring, and the cold winter. Person2 warns Person1 to dress warmly in the evening to avoid catching a cold."
test_62,"Person1 suggests going to the movies, but Person2 dislikes many genres. Person2 surprises Person1 by suggesting a war movie."
test_63,"Adam gives Person1 a tour of the school, pointing out the library as the tallest building and the new classroom building. Person1 expresses envy about the swimming pool and Adam encourages their dream."
test_64,"Person1 shares the news that Person2 is going to be a father, surprising Person2 who asks if Person1 is pregnant. Person1 confirms and they both express happiness."
test_65,"Person1 claims John goes on dates with her seven times a week, Person2 is skeptical but Person1 speculates that John has feelings for her, and Person2 agrees they are a perfect match."
test_66,Person1 suggests adding a painting program and upgrading the hardware. Person2 agrees and asks for guidance on how to do it.
test_67,"Person1 asks Person2 where they want to go, and Person2 requests to be taken to a specific Holiday Inn in Crenshaw and Hawthorne. Person2 reveals they are from Mexico, not China, and were in China for a business trip. Person1 asks Person2's age, and Person2 jokes about it being rude but eventually reveals they are 26. Person1 shares they are 40 and have Colombian heritage. Person2 asks if Person1 speaks Spanish and compliments their ability to speak the language."
test_68,"Person1 is worried about weight gain, Person2 suggests eating less and being more active, Person1 agrees to try exercise classes."
test_69,Person1 welcomes Person2 to the restaurant but there are no available rooms. Person2 declines and mentions having a reservation. Person1 asks for their name and arranges for a waitress to assist them.
test_70,"The plant covers 75,000 square meters and was set up in the early 70s. It will soon celebrate its 30th anniversary. It has 500 employees working in three shifts. The plant specializes in different fields and makes some accessories. They start with the assembly line."
test_71,"Rebecca began as an intern at the York Herald, then became a junior local news reporter. She later moved to London to work for the London Weekly for better career opportunities."
test_72,"Person1 tells Person2 about the need to buy supplies for a group report, and Person2 suggests making a shopping list."
test_73,Mary is tired from going to the personnel market every day. Person1 suggests she try applying for jobs online. Mary agrees and decides to give it a try.
test_74,"Person2 sets a shopping budget of $300 per month to save money for bills, with Person1 acknowledging and supporting their decision."
test_75,"Jane is going to the hospital to see Susan. Person1 tells her that Susan was slightly better when he saw her yesterday. Jane asks about taking a number 7 bus, but Person1 suggests a number 13 bus instead. Jane decides to take the number 13 bus, but Person1 informs her that she will have to walk two miles to catch it."
test_76,"Person1 asks Person2 if they are available tomorrow morning, but Person2 is busy. They agree to meet next week on Tuesday at 2:30 in Person2's office."
test_77,"Person1 seeks advice on finding a tour guide in New York. Person2 recommends 'A friend in New York', a personalized tour guide service."
