TestID,Summary
FR_20091112_RATP_SCD_0826,"Dans cette conversation, le client appelle pour obtenir des informations sur les horaires des trains, spécifiquement pour le RER de la ligne E, partant de Meaux à destination de la Gare de l'Est à Paris. Le client souhaite connaître les horaires pour un départ aux environs de 17 heures le jour même. L'agent, après clarification de la demande, fournit les horaires des trains disponibles, à savoir un départ à 16h49 et un autre à 17h19. Le client remercie l'agent pour l'information fournie. Le problème principal de l'appel, à savoir l'obtention des horaires de train, est résolu lors de cet appel."
FR_20091112_RATP_SCD_0765,"Dans cette conversation, le client (Spk_B) appelle pour le compte d'une collègue qui a reçu une amende pour défaut de titre de transport régulier dans un autobus de la RATP, bien qu'elle possède une carte Navigo qu'elle avait perdue au moment du contrôle. Le client exprime son mécontentement face à l'amende de 62 euros, qu'il juge excessive, et cherche une solution pour contester cette amende, car sa collègue n'a pas les moyens de la payer.

L'agent (Spk_A) explique que l'infraction est justifiée car la carte n'a pas pu être présentée lors du contrôle, comparant cela à l'oubli d'un permis de conduire. L'agent informe le client que la collègue peut se rendre au service après verbalisation à l'adresse indiquée (31 rue Belliard, Paris 18ème) avec le PV et sa carte Navigo pour résoudre le problème. L'agent précise que le service est ouvert du lundi au samedi, mais qu'il n'est plus possible de les joindre par téléphone en raison d'une restructuration.

Le client demande s'il est possible de régler la situation par courrier, car sa collègue travaille et n'a pas le temps de se déplacer. L'agent confirme que cela est possible et indique que la collègue doit envoyer l'original du PV, une photocopie de sa carte Navigo, et une lettre explicative à la même adresse. La conversation se termine avec le client remerciant l'agent pour les informations fournies. Le problème n'est pas résolu lors de cet appel, mais des instructions claires sont données pour une résolution potentielle."
FR_20091112_RATP_SCD_0268,"Dans cette conversation, le client (Spk_B) contacte le service client pour obtenir un dossier d'abonnement à la carte Imagine+R. Le client souhaite savoir s'il est possible de recevoir ce dossier par courrier, car il ne souhaite pas se déplacer pour le récupérer. L'agent (Spk_A) informe le client que les dossiers ne sont pas envoyés par courrier et qu'ils sont disponibles à tous les guichets, que ce soit dans les gares ou les stations. L'agent propose également de fournir le numéro de téléphone du service Imagine+R pour toute autre question. Le client accepte cette proposition et note le numéro. La conversation se termine avec le client remerciant l'agent pour l'information. Le problème principal, à savoir l'obtention du dossier, n'est pas résolu par l'envoi postal, mais le client est informé des alternatives disponibles."
FR_20091112_RATP_SCD_0346,"**Synopsis de la conversation :**

Le client (Spk_B) a contacté le service pour obtenir des indications sur le trajet à suivre en transport en commun entre le 37 boulevard de Charonne dans le 11ème arrondissement et le 64 boulevard de Belleville dans le 20ème arrondissement de Paris. L'agent (Spk_A) a confirmé les adresses et a proposé un itinéraire en métro. Le client devait prendre la ligne 2 en direction de Porte Dauphine et descendre à la station Couronne, qui est proche de sa destination. Le client a confirmé les informations et a exprimé sa satisfaction. Le problème principal, qui était de fournir des instructions de trajet, a été résolu lors de cet appel. Aucun sous-problème n'a été soulevé."
FR_20091112_RATP_SCD_0761,"Dans cette conversation, le client (Spk_C) cherche à obtenir par fax le renouvellement de son contrat pour sa carte Navigo Intégrale. L'agent (Spk_B) informe le client que pour obtenir une attestation de ce type, il est nécessaire de se rendre en agence commerciale. L'agent propose également une alternative en fournissant le numéro de téléphone du gestionnaire de la carte Intégrale, suggérant que ce service pourrait potentiellement aider le client. Le problème principal, à savoir l'obtention de l'attestation de renouvellement, n'est pas résolu lors de cet appel, mais le client reçoit des instructions sur les prochaines étapes à suivre."
FR_20091112_RATP_SCD_0756,"**Synopsis de la conversation :**

Le client (Spk_C) a contacté le centre d'appel pour obtenir des informations sur la compensation et l'indemnisation suite aux perturbations causées par les grèves récentes. Le client souhaite savoir comment se déroule le processus de compensation pour les voyageurs affectés.

L'agent (Spk_B) informe le client qu'il n'y a pas encore de note officielle concernant le remboursement ou la compensation. L'agent conseille au client de rappeler au moins la semaine prochaine ou à la fin du mois pour obtenir des informations plus précises, car bien que le sujet ait été évoqué, rien n'est encore officiel.

La résolution de l'appel n'est pas atteinte lors de cet échange, car le client devra rappeler ultérieurement pour obtenir des informations définitives sur la compensation."
FR_20091112_RATP_SCD_0503,"La cliente, venant du Nord et n'étant pas familière avec la région parisienne, cherche des indications pour se rendre à la Gare de Lyon depuis Clichy-la-Garenne. Elle exprime son incertitude quant au trajet à suivre. L'agent lui propose un itinéraire en métro, en commençant par prendre la ligne 13 à la station Mairie de Clichy, direction Châtillon, puis de descendre à Saint-Lazare pour prendre la ligne 14 en direction d'Olympiades jusqu'à la Gare de Lyon. L'agent précise que ce trajet prend environ vingt-cinq minutes. La cliente s'interroge également sur la possibilité de prendre un train, mais l'agent confirme que ce n'est pas une option viable. La cliente est satisfaite de l'information fournie et remercie l'agent avant de conclure l'appel. Le problème principal de l'appel, à savoir l'itinéraire vers la Gare de Lyon, a été résolu lors de cet appel."
FR_20091112_RATP_SCD_0779,"**Synopsis de la conversation :**

Le client a contacté le service client pour obtenir une attestation d'abonnement à son abonnement Navigo Intégrale, nécessaire pour que son employeur puisse lui rembourser la moitié de son abonnement depuis avril 2009. L'agent a proposé deux solutions : se rendre directement dans une agence commerciale ou contacter un numéro de téléphone spécifique pour obtenir l'attestation. Le client a choisi la deuxième option et a noté le numéro fourni par l'agent. L'appel s'est conclu avec le client remerciant l'agent, et il semble que le problème du client n'a pas été résolu lors de cet appel, mais il a été orienté vers une solution possible."
FR_20091112_RATP_SCD_0870,"**Synopsis de la conversation :**

**Point de vue du client :** Le client a contacté le service pour obtenir des informations sur les réductions de transport disponibles pour les conjoints des employés de la RATP. Elle souhaite savoir si elle peut bénéficier d'une réduction grâce au travail de son mari.

**Point de vue de l'agent :** L'agent informe le client que les conjoints des employés de la RATP peuvent effectivement bénéficier d'une réduction de 50% sur les titres de transport, mais uniquement sur les carnets de billets, et non sur les cartes Orange ou autres abonnements. L'agent précise que le mari du client doit faire une demande auprès de son service administratif pour obtenir une carte de famille d'agent.

**Résolution de l'appel :** Le problème du client a été résolu lors de cet appel. Elle a reçu les informations nécessaires sur la procédure à suivre pour bénéficier de la réduction."
FR_20091112_RATP_SCD_0905,"Dans cette conversation, le client cherche à obtenir des informations sur le trajet en métro pour se rendre au 30 rue de Reuilly depuis la Porte de Vincennes. Le client pense que la rue de Reuilly se trouve dans le 12ème arrondissement de Paris. L'agent confirme que pour atteindre cette destination, le client doit descendre à la station Reuilly-Diderot, accessible via les lignes 8 ou 1 du métro. Le client s'inquiète des nombreuses sorties à cette station et demande des précisions sur la sortie la plus proche de la rue de Reuilly. L'agent explique que les sorties de métro sont situées à l'intersection du boulevard Diderot et de la rue de Reuilly, et que même en sortant du mauvais côté, il suffit de traverser le boulevard pour atteindre la rue de Reuilly. Le problème principal de l'appel, à savoir l'itinéraire en métro, est résolu au cours de cet appel."
