TestID,Summary
test_0,"Person1 instructs Person2 to take a dictation for an intra-office memorandum to be distributed to all employees by the afternoon. The memo announces a new policy prohibiting the use of Instant Messaging programs during working hours, applicable to both internal and external communications. Person1 emphasizes that employees must change their communication methods, as Instant Messaging is deemed a time-waster. The policy includes disciplinary actions: a warning and probation for the first offense, and termination for the second. Person1 requests that any questions be directed to department heads and instructs Person2 to ensure the memo is distributed before 4 pm."
test_1,"Person1 expresses concern about Person2's delayed arrival, which Person2 attributes to a traffic jam near the Carrefour intersection. Person1 suggests that Person2 consider alternative routes or public transportation to avoid such congestion. Person2 acknowledges the efficiency of the public transport system and expresses guilt over contributing to pollution. Person1 highlights the environmental benefits and reduced stress of using public transport, and suggests biking as an alternative for maintaining freedom. Person2 agrees, recognizing the health benefits of biking, and decides to stop driving to work for personal and environmental reasons."
test_2,"Person1 informs Person2 about the surprising news that Masha and Hero are getting divorced after a two-month separation. Person2 expresses disbelief, as they always considered Masha and Hero to be a well-matched couple. Person1 mentions that Masha will have custody of the children and that the divorce proceedings are amicable, with no disputes over assets. Person2 is still in disbelief, referring to Masha and Hero as the ""perfect couple,"" and inquires about the finalization of the divorce, to which Person1 responds that it is expected to be finalized early in the New Year."
test_3,"Person1 wishes Brian a happy birthday and presents him with a gift. Brian expresses happiness that Person1 remembered his birthday and invites them to join the party, assuring them of a good time. Person1 requests a dance with Brian, which he agrees to. During the dance, they compliment each other, with Brian noting Person1's popularity and appearance. Person1 expresses gratitude and hopes their outfit looks good. Brian reassures Person1 that they look great. Person1 suggests they have a drink together to celebrate Brian's birthday, indicating a desire to further enjoy the festivities."
test_4,"Person1 expresses amazement at the size of the Olympic park, particularly the Olympic stadium, which Person2 confirms is the center of the park. Person1 inquires about the completion date, and Person2 informs them that the stadium is scheduled to be finished in June. Person1 is surprised by the stadium's capacity of 5,000 seats. Person2 points out the tracks and jumping pit, and Person1 notices a ""No climbing"" sign. Person2 explains that signs with English translations have been placed for the convenience of foreign visitors."
test_5,"Person1 expresses frustration with their current job and announces their intention to quit and start their own company. Person2 questions Person1's experience with writing a business plan and explains the complexity involved, including the need for an executive summary, company description, market analysis, and financial analysis. Person1 initially underestimates the difficulty but, after hearing the detailed explanation, decides to remain in their current job to avoid the challenges of starting a business. Person1's initial determination shifts to resignation as they reconsider their plan."
test_6,"Person2 expresses discomfort due to itchiness, lightheadedness, and weakness, suspecting an illness. Person1 examines Person2 and reacts with alarm, suspecting that Person2 has chickenpox and is contagious. Person1 expresses fear of contracting the illness, as they did not have it as a child and are concerned about the severity of adult infection. Person2 downplays Person1's concerns, suggesting it might be a rash or allergy, and decides to take an oatmeal bath for relief."
test_7,"Person2, who is staying in Room 309, requests their bill as they are checking out. Upon receiving the bill, Person2 notices an unexpected $30 charge for a laundry service dated November 20th, which they claim not to have used. Person1 apologizes and offers to verify the charge with the relevant department. After checking, Person1 confirms the error and corrects the bill, ensuring Person2's satisfaction before they leave. Person2 is relieved that the issue is resolved."
test_8,"Person1 seeks urgent assistance from Person2 because Person1's wife has discovered his affair with his secretary and intends to divorce him. Person2 expresses disappointment in Person1's infidelity, especially given their ten-year marriage. Person1 acknowledges his mistake, insists the affair was brief, and professes his love for his wife, stating he cannot live without her. Person2 offers to persuade Person1's wife to reconsider the divorce, but seeks assurance of Person1's future fidelity, which Person1 promises to uphold."
test_9,"Person1 inquires about a person of sound character, to which Person2 responds by naming Abraham Lincoln. They discuss Lincoln's integrity, exemplified by his act of walking five miles to return change, and his perseverance in pursuing political office. Person2 admires Lincoln's courage in advocating for equal rights, while Person1 acknowledges his vision. Person2 expresses a desire to have met Lincoln, highlighting admiration for his humility."
