TestID,Summary
FR_20091112_RATP_SCD_0826,Le client appelle pour obtenir les horaires de train de la ligne RER de Meaux à Paris. L'agent lui propose deux options de départ : 16h49 ou 17h19. L'appel se termine avec satisfaction.
FR_20091112_RATP_SCD_0765,Un client appelle pour une collègue qui a reçu une amende de la RATP pour défaut de titre de transport. La collègue ne peut pas payer l'amende et a perdu sa carte Navigo. L'agent conseille de se rendre au bureau de la RATP ou d'envoyer les documents par courrier.
FR_20091112_RATP_SCD_0268,"Le client appelle pour obtenir des informations sur la carte Imagine+R et demande si un dossier peut lui être envoyé par courrier. L'agent explique que les dossiers ne sont pas envoyés par courrier, mais sont disponibles dans les guichets. Le client demande le numéro de téléphone du service Imagine+R. L'agent lui donne le numéro et la conversation se termine."
FR_20091112_RATP_SCD_0346,Le client demande des indications pour se rendre de l'adresse 37 boulevard de Charonne à l'adresse 64 rue de Belleville. L'agent propose d'utiliser le métro et donne des indications précises.
FR_20091112_RATP_SCD_0761,"Le client appelle pour renouveler son contrat de carte Navigo, mais l'agent lui explique qu'il doit se rendre en agence pour obtenir une attestation de paiement. Le client demande plutôt une attestation de possession de la carte Intégrale. L'agent lui donne le numéro du gestionnaire de la carte Intégrale. Le client note le numéro et remercie l'agent. L'appel se termine sur des salutations cordiales. Le problème du client n'est pas résolu car il doit toujours se rendre en agence pour obtenir l'attestation demandée."
FR_20091112_RATP_SCD_0756,Le client appelle pour demander des informations sur la compensation suite aux grèves. L'agent explique qu'il n'y a pas encore d'informations officielles et suggère de rappeler plus tard.
FR_20091112_RATP_SCD_0503,Mme C appelle pour demander des indications pour se rendre à la Gare de Lyon depuis Clichy. L'agent M. B lui donne des instructions détaillées pour prendre le métro.
FR_20091112_RATP_SCD_0779,"Le client appelle pour demander une attestation d'abonnement pour se faire rembourser par son employeur. L'agent propose deux options, mais l'appel se termine sans résolution."
FR_20091112_RATP_SCD_0870,Résumé : Un client demande des informations sur les réductions pour les conjoints d'employés de la RATP. L'agent explique les conditions pour obtenir une carte de famille d'agent et les réductions disponibles. L'appel est résolu avec succès.
FR_20091112_RATP_SCD_0905,Le client appelle pour demander quel métro prendre pour se rendre au 30 rue de Reuilly. L'agent lui indique la station Reuilly-Diderot sur la ligne 8.
FR_20091112_RATP_SCD_0758,Le client appelle le Service Clients à Distance pour obtenir des informations sur les cartes de transport pour un séminaire à Paris. Il est mis en relation avec le service grand compte.
FR_20091112_RATP_SCD_0679,Le client a oublié un sac contenant des radios à la clinique Arago. L'agent recherche les radios mais ne les trouve pas. Le client décide d'appeler son chirurgien.
FR_20091112_RATP_SCD_0897,Le client appelle pour signaler un problème lors de son voyage à l'aéroport d'Orly. Il demande s'il peut obtenir un remboursement pour les désagréments rencontrés. L'agent propose de contacter le Service Clientèle d'Orlyval pour faire une réclamation.
FR_20091112_RATP_SCD_0795,"Un demandeur d'emploi en formation cherche un tarif adapté pour se déplacer à Paris pendant huit mois. L'agent lui propose le passe Navigo Orange, mais précise qu'il n'y a pas de réduction pour les chômeurs. Le client doit se rendre en agence pour obtenir le passe. L'agent lui indique l'agence la plus proche et le client est satisfait."
FR_20091112_RATP_SCD_0731,Le client signale la perte d'une trousse bleue contenant divers objets précieux. L'agent prend note de la description et conseille au client de se rendre aux objets trouvés. L'appel n'est pas résolu.
FR_20091112_RATP_SCD_0830,"Perte d'un sac dans le métro, description du sac et des objets à l'intérieur, localisation de la perte, récupération réussie du sac à la station Mairie d'Ivry."
FR_20091112_RATP_SCD_0851,Le client appelle pour obtenir des informations sur l'achat de tickets et de cartes pour un voyage scolaire à Paris. L'agent explique qu'ils doivent être achetés sur place à Paris. Le problème est résolu.
FR_20091112_RATP_SCD_0782,"Le client appelle pour obtenir des informations sur un trajet de la rue d'Alger à Massy à la rue Saint-Denis à Colombes, en évitant le RER B en raison des grèves. L'agent propose un itinéraire en bus et en métro, et estime la durée du trajet à environ deux heures quinze. Le client est satisfait et remercie l'agent."
FR_20091112_RATP_SCD_0755,Le client a oublié son sac à dos dans un RER à la gare de La Défense. L'agent propose de vérifier dans le train et donne le numéro de la SNCF pour plus d'informations.
FR_20091112_RATP_SCD_0813,Perte d'un gant en cuir marron clair dans le bus numéro 289 le 10 novembre à 15h23. L'appel n'est pas résolu car le gant n'a pas été retrouvé.
FR_20091112_RATP_SCD_0783,"Un client appelle le Service Clients de la RATP pour signaler un problème avec sa carte vitale, mais réalise qu'il a composé le mauvais numéro et raccroche sans résoudre son problème."
FR_20091112_RATP_SCD_0810,Panne de matériel sur la ligne treize et voyageur malade sur la ligne six ce matin. Le trafic a été perturbé mais a repris progressivement. Les informations spécifiques ne sont pas disponibles en ligne.
FR_20091112_RATP_SCD_0327,Le client demande si le T+2 de la Porte de Versailles à Val d'Issy est en service. L'agent confirme qu'il est en test et indisponible pour les voyageurs. Problème résolu.
FR_20091112_RATP_SCD_0759,Le client appelle pour connaître les horaires des trains entre Sartrouville et Bécon-les-Bruyères. L'agent lui propose plusieurs options et lui donne également le numéro de téléphone de la SNCF pour plus d'informations.
FR_20091112_RATP_SCD_0738,"Le client demande un itinéraire en bus entre la rue Victor Musso et le boulevard de Verdun à Fontenay-sous-Bois. L'agent propose de prendre le bus 127 jusqu'à l'arrêt Les Parapluies, puis le bus 124 jusqu'à la rue de Joinville. Le client est satisfait."
FR_20091112_RATP_SCD_0798,"Le client signale la perte d'un sac en toile dans le bus cent-vingt-trois. L'agent promet de se renseigner, mais aucune information n'est disponible pour le moment."
FR_20091112_RATP_SCD_0796,Le client appelle le centre d'appels de la RATP pour obtenir des informations sur la réduction tarifaire pour son conjoint. L'agent l'informe des démarches à suivre et lui donne le numéro de téléphone de la caisse de retraite pour d'autres questions.
