TestID,Summary
FR_20091112_RATP_SCD_0826,Un homme appelle pour demander les horaires des trains RER entre Meaux et Paris. Il obtient les horaires pour un départ à 16h49 et à 17h19.
FR_20091112_RATP_SCD_0765,Un homme appelle la RATP pour contester une amende infligée à sa collègue pour défaut de titre de transport. Il demande des informations sur les démarches à suivre.
FR_20091112_RATP_SCD_0268,Une personne demande si elle peut obtenir un dossier pour faire une carte Imagine+R. On lui explique qu'elle peut les retirer aux guichets des gares ou des stations. On lui donne également le numéro de téléphone du service Imagine+R.
FR_20091112_RATP_SCD_0346,Un homme demande à une femme comment se rendre de l'adresse 37 boulevard de Charonne à l'adresse 64 rue de Belleville à Paris. La femme lui indique de prendre la ligne 2 du métro jusqu'à la station Couronne.
FR_20091112_RATP_SCD_0761,"Un client demande par téléphone le renouvellement de son contrat de carte Navigo, mais il est informé qu'il doit se rendre en agence pour obtenir une attestation."
FR_20091112_RATP_SCD_0756,Le dialogue concerne une personne qui a été victime des grèves et qui demande des informations sur les compensations et indemnités pour les voyageurs. On lui dit qu'il n'y a pas encore d'informations officielles à ce sujet.
FR_20091112_RATP_SCD_0503,"Une femme demande comment se rendre à la Gare de Lyon depuis Clichy. On lui explique qu'elle peut prendre le métro ligne 13 jusqu'à Saint-Lazare, puis changer pour la ligne 14 jusqu'à la Gare de Lyon."
FR_20091112_RATP_SCD_0779,Un appel téléphonique pour demander une attestation d'abonnement de transport afin de se faire rembourser par l'employeur. Le numéro de téléphone de l'agence est donné.
FR_20091112_RATP_SCD_0870,Une femme appelle pour savoir si elle peut bénéficier d'une réduction sur les titres de transport de la RATP grâce au travail de son mari. On lui explique la procédure à suivre.
FR_20091112_RATP_SCD_0905,Une personne demande à une autre comment se rendre à la rue de Reuilly. La personne lui indique de descendre à la station de métro Reuilly-Diderot sur la ligne huit ou une.
FR_20091112_RATP_SCD_0758,Une personne appelle le service client de la RATP pour demander des informations sur la possibilité d'obtenir des cartes de transport pour un séminaire à Paris réunissant une cinquantaine de personnes. Le service client explique qu'il existe un service grand compte mais qu'il faut un minimum de 150 euros de commande. La personne est mise en relation avec le service grand compte pour passer sa commande.
FR_20091112_RATP_SCD_0679,Une femme appelle pour signaler la perte de ses radios médicales dans le métro. Le personnel de la RATP ne les a pas retrouvées.
FR_20091112_RATP_SCD_0897,"Une personne appelle pour se plaindre d'un problème de transport lors d'une journée de grève. Elle demande si elle peut être remboursée pour son billet. L'opératrice explique qu'il n'y a pas de procédure de remboursement une fois le billet validé, mais donne les coordonnées du service clientèle pour faire une réclamation."
FR_20091112_RATP_SCD_0795,Un demandeur d'emploi en formation à Paris cherche un tarif adapté pour se déplacer pendant huit mois. On lui propose le passe Navigo Orange en agence.
