TestID,Summary
test_0,Memo: New policy bans Instant Messaging during work hours; violations lead to probation or termination. Questions? Contact department heads.
test_1,"Person2 decides to stop driving to work, opting for public transport or biking for environmental and health benefits."
test_2,"Masha and Hero's amicable divorce surprises Person2, who saw them as the ""perfect couple."" Finalization expected early New Year."
test_3,"Person1 celebrates Brian's birthday with a gift, dance, and drinks, enjoying compliments and party festivities together."
test_4,"Person1 is amazed by the Olympic park's size; Person2 confirms stadium completion in June, highlighting features and English signs."
test_5,"Person1 reconsiders quitting job after realizing the complexities of starting a business, opting to stay employed."
test_6,"Person2 feels unwell, suspects illness; Person1 fears chickenpox contagion. Person2 downplays, opts for an oatmeal bath."
test_7,"Person2 disputes a $30 laundry charge; Person1 verifies and corrects the error, ensuring Person2's satisfaction."
test_8,Person1 seeks help after his wife discovers his affair; Person2 agrees to mediate if fidelity is assured.
test_9,"Person2 admires Lincoln's integrity, perseverance, courage, vision, and humility, wishing to have met him."
test_10,"Person2 plans to visit Hebei, but Person1 warns of severe sandstorms causing respiratory issues in northern China."
test_11,"Francis appreciates Person2's thoughtful gift of a remote car model at his birthday party, enhancing their friendship."
test_12,"Tony regrets cheating, fears father's reaction, and vows to study harder. Steven advises learning from the mistake."
test_13,Person1 is surprised by the time and rushes to catch a train; Person2 reassures there's enough time.
test_14,"Person1 struggles with sleep and wine; Person2 advises sleep, less wine, exercise, and reassures Person1's potential."
test_15,"Person1 invites Person2 to Ruojia's marriage party; both plan gifts, wineglasses, and a tea set."
test_16,"Person1 promotes a prank, Person2 hesitates but joins, revealing playful mischief and reluctant participation."
test_17,"Mike describes his sister as tall, pretty, friendly, and easy-going, but not as clever as him."
test_18,Person1 has a headache and slight fever; Person2 advises resting and notifying the school about the illness.
test_19,"Person2 wants a new phone with a camera, MP3 player, and video call support; seeks Person1's help."
test_20,"Frank secures a demanding Post Office job for excellent health insurance, benefiting his family, and feels satisfied."
test_21,"Person2 showcases programming, secretarial skills, and extensive training, aiming to prove job suitability to Person1."
test_22,"Person1's steak is overcooked; Person2 offers a replacement, and Person1 agrees to wait."
test_23,Tom is surprised and thrilled to win the Nobel Prize for his novel; Person1 suggests celebrating.
test_24,"Person2 highlights qualifications: Automobile Designing major, master's in science, and experience as a student engineer in material analysis."
test_25,"Person1 and Person2 discuss drinking habits, costs, and plan to visit Ram Bar and Grill for drink specials."
test_26,"Person1 and Person2 plan a picnic, discussing food and logistics, while avoiding Daniel's involvement to prevent complications."
test_27,James and Muriel discuss holidays and preferences before Susan arrives for a business meeting.
test_28,"Person1 accidentally donates $10,000 to WWF at an ATM, triggering a security alert and leaving him distressed."
test_29,"Person2 is outgoing, enjoys socializing, and values sincerity in communication with colleagues."
test_30,Person2 is frustrated with work; Person1 suggests a drink. Person2 hesitates due to limited funds but decides to try.
test_31,Monica and Francis schedule a meeting for Friday afternoon to work on a financial report.
