TestID,Summary
FR_20091112_RATP_SCD_0826,Le client appelle pour obtenir les horaires de train de la ligne RER de Meaux à Paris. L'agent lui propose deux options de départ : 16h49 ou 17h19. L'appel est résolu.
FR_20091112_RATP_SCD_0765,Un client appelle pour contester une amende reçue par sa collègue de travail pour avoir voyagé sans sa carte Navigo. L'agent propose d'envoyer un courrier avec les documents nécessaires pour régler la situation.
FR_20091112_RATP_SCD_0268,"Le client appelle pour obtenir des informations sur la carte Imagine+R et demande si un dossier peut lui être envoyé pour faire une demande de carte. L'agent explique que les dossiers ne sont pas envoyés par courrier, mais sont disponibles dans tous les guichets. Le client indique qu'elle préfère recevoir le numéro de téléphone du service Imagine+R pour les contacter. L'agent donne le numéro de téléphone et le client le note. L'appel se termine avec des remerciements et des salutations."
FR_20091112_RATP_SCD_0346,Un client demande des indications pour se rendre à une adresse spécifique. L'agent confirme l'adresse et propose un itinéraire en métro. Le client est satisfait et l'appel se termine avec succès.
FR_20091112_RATP_SCD_0761,Le client appelle pour renouveler son contrat de carte Navigo. L'agent explique qu'il doit se rendre en agence et propose de donner le numéro du gestionnaire de la carte Intégrale. Le client accepte et note le numéro. L'appel se termine cordialement.
FR_20091112_RATP_SCD_0756,Le client a appelé pour demander des informations sur la compensation et l'indemnisation suite aux grèves récentes. L'agent explique qu'il n'y a pas encore de note officielle à ce sujet. Le client accepte d'attendre.
FR_20091112_RATP_SCD_0503,Mme C appelle le centre d'appels pour demander des indications pour se rendre à la Gare de Lyon depuis Clichy-la-Garenne. M. B lui explique les lignes de métro à prendre. L'appel est résolu.
FR_20091112_RATP_SCD_0779,Le client demande une attestation d'abonnement pour se faire rembourser par son employeur. L'agent propose deux options : se rendre en agence ou contacter le service client. Le client choisit de contacter le service client et obtient les informations nécessaires.
FR_20091112_RATP_SCD_0870,Le client appelle pour savoir s'il peut bénéficier de réductions sur les titres de transport en tant que conjoint d'un employé de la RATP. L'agent explique les conditions et résout le problème.
FR_20091112_RATP_SCD_0905,"Résumé :

Un client demande quel métro prendre pour se rendre à la rue de Reuilly depuis la Porte de Vincennes. L'agent l'informe de la station Reuilly-Diderot et de la sortie à prendre. Problème résolu."
FR_20091112_RATP_SCD_0758,Le client appelle le centre d'appel pour obtenir des informations sur les cartes de transport pour un séminaire. L'agent confirme l'existence du service grand compte et transfère l'appel.
FR_20091112_RATP_SCD_0679,Le client a perdu un sac contenant des radios dans le métro. L'agent lui conseille de consulter son médecin pour obtenir une nouvelle ordonnance. L'appel n'est pas résolu.
FR_20091112_RATP_SCD_0897,"Le client demande un remboursement après avoir été déposé au mauvais arrêt par la navette Jet Bus. L'agent explique la procédure de réclamation, mais précise qu'il n'y a pas de garantie de remboursement."
FR_20091112_RATP_SCD_0795,"Un client demande s'il existe un tarif adapté pour les demandeurs d'emploi en formation qui se déplacent tous les jours à Paris. L'agent confirme l'existence d'un passe Navigo Orange adapté, mais nécessite une visite en agence. Le client est satisfait."
FR_20091112_RATP_SCD_0731,Le client signale la perte d'une trousse contenant divers objets précieux dans le bus. L'agent propose de se rendre aux objets trouvés pour obtenir de l'aide. Le problème reste non résolu.
FR_20091112_RATP_SCD_0830,Un client signale la perte de son sac dans le métro. L'agent du centre d'appels vérifie et découvre qu'il a été retrouvé à la station Mairie d'Ivry. Le client peut le récupérer. Problème résolu.
FR_20091112_RATP_SCD_0851,Le client appelle pour obtenir des informations sur l'achat de tickets et de cartes pour un voyage scolaire à Paris. L'agent l'aide à résoudre son problème en lui expliquant la procédure à suivre.
FR_20091112_RATP_SCD_0782,"Un client demande un itinéraire alternatif pour se rendre de la rue d'Alger à Massy à la rue Saint-Denis à Colombes, en évitant le RER B en raison des grèves. L'agent propose de prendre le bus 197, puis la ligne 4 du métro et enfin le bus 166. Le client est satisfait de l'itinéraire proposé."
FR_20091112_RATP_SCD_0755,Le client signale la perte de son sac à dos dans un RER et l'agent du centre d'appel l'oriente vers la SNCF pour vérifier s'ils l'ont retrouvé.
FR_20091112_RATP_SCD_0813,"Un client signale la perte de son gant en cuir dans un bus, mais l'agent ne parvient pas à le retrouver. Le client reste satisfait malgré tout."
FR_20091112_RATP_SCD_0783,Le client appelle le mauvais service de la RATP pour signaler un problème avec sa carte vitale. L'agent l'informe de son erreur et le client raccroche sans résoudre son problème.
FR_20091112_RATP_SCD_0810,"Panne de matériel sur la ligne treize et voyageur malade sur la ligne six ce matin, entraînant des perturbations du trafic. Le client exprime sa frustration quant à l'absence d'un historique des incidents."
FR_20091112_RATP_SCD_0327,Le client demande si le T+deux de la Porte+de+Versailles à Val+d'Issy est en service. L'agent confirme qu'il est en test et indisponible pour les voyageurs. L'appel se termine avec cette information.
FR_20091112_RATP_SCD_0759,Le client appelle pour connaître les horaires des trains entre Sartrouville et Bécon-les-Bruyères. L'agent lui propose plusieurs options et lui donne également le numéro de téléphone de la SNCF pour plus d'informations.
FR_20091112_RATP_SCD_0738,"Résumé :

Un client demande des informations sur les transports en commun à Fontenay-sous-Bois. L'agent propose un itinéraire en bus pour se rendre d'un point à un autre. Le problème du client est résolu."
FR_20091112_RATP_SCD_0798,"Le client signale la perte d'un sac dans le bus 123. L'agent tente de retrouver le sac, mais aucune information n'est disponible. Le client est invité à rappeler le lendemain."
FR_20091112_RATP_SCD_0796,Un client appelle la RATP pour obtenir des informations sur la réduction tarifaire pour son conjoint. L'agent l'informe des démarches à suivre et lui donne également un numéro pour des informations sur la pension de réversion.
FR_20091112_RATP_SCD_0131,Le client signale la perte de sa carte Émeraude et l'absence de réponse du service des réclamations de la RATP. L'agent propose des conseils pour suivre la situation.
FR_20091112_RATP_SCD_0815,Un client appelle le centre d'appels pour obtenir des informations sur l'achat de tickets de transport en commun pour des classes de groupes dans le cadre de projets. L'agent explique les démarches à suivre et propose de transférer le client à un autre service pour les commandes en gros.
FR_20091112_RATP_SCD_0788,Un client demande la suspension de son abonnement Navigo en raison d'un arrêt de travail. L'agent explique les démarches à suivre pour obtenir le remboursement et rassure le client sur le délai.
FR_20091112_RATP_SCD_0805,Le client signale un prélèvement excessif sur son abonnement à la carte Imagine+R. L'agent lui donne le numéro du service client pour résoudre le problème.
FR_20091112_RATP_SCD_0735,Le client appelle pour demander le coût de l'appel téléphonique vers l'entreprise. L'agent admet ne pas connaître le coût et promet de signaler le problème. L'appel se termine sans résolution.
FR_20091112_RATP_SCD_0902,"Résumé :

Un client appelle le centre d'appel pour obtenir de l'aide concernant un PV reçu par son fils dans le RER. Elle ne comprend pas pourquoi elle doit payer à nouveau car son fils a déjà une carte Imagine+R. L'appel est transféré au service de paiement."
FR_20091112_RATP_SCD_0317,Le client demande si son téléphone portable Alcatel blanc perdu hier dans l'autobus a été retrouvé. L'agent vérifie et informe le client qu'aucun téléphone portable n'a été retrouvé.
FR_20091112_RATP_SCD_0710,Le client demande des informations sur les transports en commun pour se rendre d'un endroit à un autre. L'agent propose plusieurs itinéraires en bus et vérifie les horaires. L'appel est résolu.
FR_20091112_RATP_SCD_0862,"Le client demande si la grève des bus est maintenue à Vitry-sur-Seine. L'agent confirme que le trafic sera normal demain, résolvant ainsi le problème du client."
FR_20091112_RATP_SCD_0747,Le client appelle pour demander un remboursement de son abonnement de transport en commun en raison d'une blessure. L'agent propose de suspendre le passe Navigo et de contacter la gestion de la carte Intégrale pour demander un remboursement.
FR_20091112_RATP_SCD_0087,Le client appelle pour demander des informations sur les bus disponibles à la station Javel du RER pour se rendre à la rue Vauthier à Boulogne-Billancourt. L'agent lui indique qu'il peut prendre le bus 72 en traversant le Pont de Mirabeau et descendre à l'arrêt Route de la Reine-Jean Jaurès. Le client confirme qu'il prendra le bus 72 et remercie l'agent. L'appel se termine de manière cordiale.
FR_20091112_RATP_SCD_0775,"Un client cherche à contacter le musée des transports mais n'obtient aucune réponse malgré ses tentatives. L'agent propose différentes solutions, mais la résolution de l'appel reste incertaine."
FR_20091112_RATP_SCD_0370,Le client appelle pour obtenir le numéro de l'infraction liée à une amende pour absence de titre de transport. L'agent A transfère l'appel à l'agent C du service de paiement de la RATP pour vérifier les informations et résoudre l'appel.
FR_20091112_RATP_SCD_0772,"Le client appelle le Service Clientèle pour connaître le temps d'attente du bus 325 à la Bibliothèque François Mitterrand. Le trafic est perturbé et seulement deux bus sont en service. Le client est informé que le bus arrivera dans huit minutes, mais devra attendre environ un quart d'heure avant de repartir."
FR_20091112_RATP_SCD_0816,"Le client appelle pour mettre à jour les montants de la carte Intégrale pour sa société dans le logiciel de paie. Il y avait des zones de prix différentes pour la carte Intégrale, mais les zones sept et huit ont été supprimées et intégrées à la zone six. Le client comprend et prendra le prix de la zone cinq et six pour les personnes en zone sept et huit. Le problème est résolu."
FR_20091112_RATP_SCD_0428,"Résumé :

Une cliente âgée appelle pour savoir si les lignes de bus qu'elle emprunte sont en service et si elles sont affectées par une grève. L'agent confirme que les lignes sont en service et non affectées par la grève. Problème résolu."
FR_20091112_RATP_SCD_0829,"Le client appelle pour obtenir des informations sur l'itinéraire et le tarif pour se rendre de Noisiel au Luzard jusqu'à Bobigny-Pablo Picasso. L'agent propose un itinéraire avec un changement à la Gare de Lyon et la ligne 5 à la station Quai de la Rapée. Le tarif est de 4,30 euros pour l'aller. Le client est satisfait de la réponse et remercie l'agent."
FR_20091112_RATP_SCD_0246,"Le client appelle pour connaître l'état du trafic sur la ligne B du RER en raison d'une grève. L'agent lui propose des alternatives de transport, mais ne peut pas garantir la présence de RER demain. Le client exprime son mécontentement face aux grèves récurrentes et aux conditions de transport pendant celles-ci. L'appel n'a pas résolu le problème du client."
FR_20091112_RATP_SCD_0833,Le client signale la perte d'un dossier d'inscription à la fac et de papiers pour le Canada. L'agent ne parvient pas à trouver le dossier et le problème reste non résolu.
FR_20091112_RATP_SCD_0740,Le client appelle pour signaler la perte de son portefeuille dans le métro. L'agent confirme avoir reçu l'appel précédemment et informe le client qu'ils n'ont pas encore retrouvé le portefeuille.
FR_20091112_RATP_SCD_0739,"Le client signale un problème avec le bus de la ligne 294 à Verrières-le-Buisson. Le bus ne s'est pas arrêté à l'arrêt, causant un retard dans le planning du client. L'agent prend note de l'incident et promet de remonter l'information."
FR_20091112_RATP_SCD_0856,Un client appelle le mauvais numéro de la RATP pour obtenir des informations sur les tarifs des transports en commun à Paris. L'agent le redirige vers le bon numéro.
FR_20091112_RATP_SCD_0858,Le client contacte le service client d'Imagine+R pour signaler un problème de débit sur son forfait. L'agent l'informe sur la procédure de remboursement des titres de transport non utilisés.
FR_20091112_RATP_SCD_0854,"Le client demande des indications pour se rendre de la Porte de Saint-Cloud à Clichy-sous-Bois. L'agent propose un itinéraire en bus jusqu'à la mairie de Clichy-sous-Bois, mais le client devra prendre un bus supplémentaire pour trouver le théâtre."
FR_20091112_RATP_SCD_0844,Le client appelle pour demander le remboursement d'une amende reçue sans sa carte Imagine+R. L'agent explique la procédure à suivre et que le remboursement est étudié au cas par cas.
FR_20091112_RATP_SCD_0988,Le client appelle pour obtenir les coordonnées de la personne responsable des autorisations de prise de vue. L'agent recherche les informations et les fournit au client. L'appel se termine avec succès.
FR_20091112_RATP_SCD_0900,"Le client appelle pour obtenir des informations sur le trafic sur la ligne RER B. Il se plaint du manque de fiabilité des informations fournies sur le site web et demande des précisions sur les prochains trains au départ de Denfert en direction de Massy. L'agent vérifie les informations et indique qu'il y a actuellement un train à Luxembourg en direction de Massy, mais n'a pas d'informations sur les trains suivants. Le client exprime sa frustration et demande à être rappelé avant de partir. L'agent recommande d'appeler quelques minutes avant le départ pour obtenir des informations en temps réel. Le client remercie l'agent et termine l'appel."
FR_20091112_RATP_SCD_0785,Le client appelle pour obtenir des informations sur l'arrêt de bus du bus numéro 43. L'agent lui indique l'emplacement de l'arrêt et répond à ses questions sur la hauteur de la rue de Dunkerque. L'appel est résolu.
FR_20091112_RATP_SCD_0742,Le client (Spk_C) appelle pour obtenir des informations sur le trafic sur la ligne B4. L'agent (Spk_B) n'a pas encore les informations pour demain entre 9h et 9h30. 3 trains sur 4 circulent actuellement jusqu'à Saint-Rémy-lès-Chevreuse.
