TestID,Summary
test_0,"Boss bans instant messaging at work, offenders face termination."
test_1,Person 2 considers switching to public transport or biking due to traffic and environmental concerns.
test_2,"Masha and Hero are getting divorced, with Masha gaining custody of the kids. The divorce will be final early next year."
test_3,"Person1 attends Brian's birthday party, compliments him, dances with him, and proposes a celebratory drink."
test_4,"Two people are touring a large Olympic park, which includes a 5000-seat stadium set to be completed in June."
test_5,"Person1 decides to quit job and start own company, but reconsiders after learning about the complexities of writing a business plan."
test_6,"Person2 feels itchy and weak, Person1 suspects it's chicken pox and fears contagion."
test_7,"Guest in Room 309 disputes a laundry charge on his bill, which the hotel staff agrees to correct."
test_8,Person1 confesses to an affair and seeks Person2's help to prevent his wife from divorcing him.
test_9,"Person 2 admires Abraham Lincoln for his character, perseverance, courage, vision, and humility."
test_10,"Person 2 considers visiting Hebei, but Person 1 warns about severe sandstorms and related health issues in northern China."
test_11,"Person2 gifts Person1 a remote car model for his birthday, which they both appreciate."
test_12,"Tony confesses to Steven about getting caught cheating on a test, expressing regret and fear of his father's reaction."
test_13,Person 1 realizes it's later than expected and rushes to catch the nine-thirty train.
test_14,"Person1 seeks advice for life adjustments; Person2 suggests sleep, less alcohol, exercise, and optimism about the future."
test_15,Person1 informs Person2 about Ruojia's marriage and their plans to attend her party.
test_16,"Two friends engage in a potentially offensive prank, causing a disagreement about their choice of fun."
test_17,"Mike describes his sister as tall, pretty, friendly, easy-going, but not as clever as him."
test_18,"Person1 feels unwell with a headache and fever, Person2 advises them to call in sick next time."
test_19,"Person2 wants to buy a new mobile phone with a camera, MP3 player, and video call capabilities."
test_20,Frank got a new job at the Post Office for its excellent health insurance benefits for his family.
test_21,"Person2 is a skilled programmer and secretary with a doctor and driving license, proficient in English, shorthand, typing, and office procedures."
test_22,Customer complains about overcooked steak; waiter agrees to replace it.
test_23,"Tom's novel wins the Nobel Prize, leading to celebrations."
test_24,"Person 2, an Automobile Designing graduate, has experience in understanding mechanical strength and corrosion resistance."
test_25,Two friends discuss their drinking habits and plan to go out for a special offer at a local bar.
test_26,"May and her mother prepare for a picnic, packing food and essentials, while discussing Daniel's unhelpful nature."
test_27,James and Muriel Douglas meet for a business discussion and share their holiday experiences while waiting for Susan Kim.
test_28,"A man mistakenly donates $10,000 to charity at an ATM, leading to a lockdown until authorities arrive."
test_29,Person2 identifies as a sociable individual who values sincerity in communication.
test_30,"Mr. Polly, unhappy with his job, decides to buy a soft drink but only has four dollars."
test_31,Francis and Monica schedule a meeting to work on a financial report on Friday afternoon.
test_32,"Person1 joins an interview preparation workshop, discussing key considerations like appropriate attire, friendly attitude, asking questions, and honesty."
test_33,"Director instructs actor to portray more anger in a breakup scene, suggesting to try his approach first."
test_34,Person1 visits neighbor Mrs. Todd before going shopping with his wife.
test_35,Bill is overworked and his brother is on a lengthy business trip to the States.
test_36,"Simon tries to convince Cleo to attend a nuclear disarmament demonstration, but she declines, preferring to study for her physics exam."
test_37,"Person1 blames Person2 for letting in a stranger, while Person2 defends their actions based on the stranger's plausible disguise."
test_38,Mark borrows Maggie's notes due to his evening job and they agree to become study partners.
test_39,"A junior student requests to enroll in Professor Turner's advanced geology course, who agrees to consider it after consulting with Professor Burman."
test_40,A customer's pendant broke and the shop agreed to replace it upon presentation of the receipt.
test_41,Two people argue over attention to a football game versus discussing new clothes.
test_42,"Person2 is considering a career in media, specifically interactive media."
test_43,"Person1, a Daily News employee, insists Person2 endure a boring event, suggesting they entertain themselves with old newspapers."
test_44,Sarah considers buying a cheaper house outside the city after a friend's positive experience with a similar purchase.
test_45,"Mark Leach, an information officer at Britain Business Center, helps around 500,000 overseas visitors annually with tourist information and trip planning."
test_46,"Lucy and Lin Fang discuss their favorite and least favorite school subjects, revealing differing preferences."
test_47,James helps Mrs. Thomas with chores and plans to continue despite buying a bike. His sister will cover for him next weekend.
test_48,"Despite spring's arrival, cold nights persist, causing discomfort indoors and outdoors."
test_49,"Director instructs actor to portray more anger in a breakup scene, promising to reconsider if it doesn't feel right."
test_50,"Person1 takes a quick taxi ride to Friendship Hotel, pays 20 yuan for a 15 yuan fare, and lets the driver keep the change."
test_51,Person1 is broke and needs bus fare; Person2 suggests getting a free transfer from the bus driver.
test_52,"The conversation discusses a 15-minute drive to downtown, nearby corporations, company's two floors, and its staff restaurant."
test_53,"Lulu and Vic discreetly dated, broke up, and now Lulu has requested a job transfer."
test_54,"Dave called for Jim, who was out getting paint, and Sally promised to relay the message."
test_55,Person 2 gives Person 1 directions to City Hall.
test_56,Person 1 lost their passport and is advised to contact their embassy for a replacement.
test_57,Leah from the International Student Office reschedules Nathaniel's appointment to 11:30 am with Ms. Fonda.
test_58,"Sarah's decision to marry Dick, a known womanizer, shocks and confuses her friends."
test_59,"Two friends enjoy a party, discussing attractive women and encouraging each other to approach them."
test_60,Jack enjoyed his poli-sci class this semester but his favorite was a business communication class last year.
test_61,Two friends discuss the weather and seasons in Beijing.
test_62,"Person 1 and Person 2 discuss movie preferences, eventually settling on a war film."
test_63,"Adam gives a tour of his school, highlighting the library, senior high school building, and summer-only swimming pool."
test_64,Person1 announces to Person2 that they are expecting a baby.
test_65,"John is possibly in love, dating a girl daily; they are considered a perfect match."
test_66,Person 1 suggests Person 2 to upgrade their system with new software and hardware for better performance and functionality.
test_67,"A Mexican businesswoman, returning from China, converses with her American-Colombian taxi driver."
test_68,Person1 is concerned about weight gain and considers dieting and exercise as potential solutions.
test_69,James arrives at a restaurant for his reserved dining room for eight people.
test_70,"The plant, established in the 70s, covers 75,000 square meters and employs 500 people working in three shifts."
test_71,"Rebecca started her journalism career at York Herald, moved to London Weekly after relocating to London with her husband."
test_72,Person1 and Person2 are preparing for a group report by shopping for stationery items for their posters.
test_73,Person 1 advises Person 2 to try online job applications for convenience and safety.
test_74,Person2 is creating a $300 monthly shopping budget to save money and pay bills.
test_75,Jane plans to visit Susan in the hospital and learns from Henry that she can take bus number 13.
test_76,Person1 and Person2 schedule a meeting next Tuesday at 2:30 to discuss sales projections.
test_77,"Person1 seeks advice for a New York trip, Person2 suggests a personalized tour guide service."
test_78,"Person 2 interviews for a sales position at a large toy company, discussing salary, benefits, and insurance."
test_79,"Person 1 and Person 2 discuss finalizing an agreement, with potential modifications needed."
test_80,"Person1 reports a car accident near Niagara Falls to ABC Rent-a-car Company, requests ambulance and police assistance."
test_81,Person 1 asks Person 2 for directions to the school clinic.
test_82,"Person2 complains about a noisy room and requests a change, which Person1 promises to arrange the next day."
test_83,"Person1 guides Person2 to a car, discusses their hotel stay and invites them to a banquet and sightseeing."
test_84,Person 1 is lost and Person 2 helps them find their way to Liu Ichang by bus.
test_85,Person 2's computer is malfunctioning and they plan to call repairmen for help.
test_86,A man buys a watch with big numbers as a birthday gift for his mother.
test_87,"Mr. Fisher and Ms. Ross discuss arrangements for a presentation, including room setup, refreshments, and potential attendance."
test_88,"Person 2 compares the fast-paced lifestyle in Russia to the more relaxed nature of Canadians, noting differences in efficiency of public services."
test_89,Person 2 is considering a Caribbean vacation but is concerned about the region's frequent storms.
test_90,Person1 and Person2 decide to take bananas and grapes for their picnic.
test_91,Person1 inquires about car rental prices and proceeds to rent one for the next day.
test_92,Two people discuss their differing views on smiling and its appropriateness in various situations.
test_93,"Company's sales hit record high, capturing 8% of the market, due to new president and marketing strategy."
test_94,"Person2 lost their backpack with wallet in a taxi, borrows money from Person1 who also offers a ride home."
test_95,Steven and Lin discuss the differences between American and Chinese tipping customs during a meal.
test_96,"Bill shares his happiness about moving in with his roommate, Brain Locker."
test_97,Tom Wilson pays his $660 hotel bill for a four-night stay and meals using a credit card.
test_98,Carol confirms party is tomorrow night at 8:30 at Jill's house; Susan may bring dessert.
test_99,"Person1 mistakenly identifies Person2 from various places, but Person2 denies all claims."
test_100,Person 1 and Person 2 discuss their differing views on re-electing Trump.
test_101,Person 2 teaches Person 1 how to use an ATM.
test_102,Susan Miller asks John about a missing office procedures memo.
test_103,"Lily is invited to a weekend picnic at the river, with all necessities provided."
test_104,"Person 2 learns about Chinese dining etiquette, including the inappropriate use of chopsticks, from Person 1."
test_105,Mary and Frank discuss their shared interest in watching movies and Mary's membership at a local movie rental store.
test_106,"Person 2 considers joining the Green Party despite acknowledging its limited influence, emphasizing the importance of political awareness."
test_107,"Mr. Wilson apologizes for goods' mistakes, agrees to exchange faulty merchandise, and assures future improvements in packaging."
test_108,"Person 2 witnessed a bank robbery by a masked, lone gunman and agreed to police questioning."
test_109,Parents are reviving their weekly date night tradition; kids are ordering pizza for dinner.
test_110,"Person1 resolves to diet and change eating habits, but immediately breaks resolution by asking for chips."
test_111,New student Karen Huang gets a special code to register for a full Comp Lit 287 class due to her major.
test_112,Two strangers decide to share an umbrella and walk together to the Garden Hotel.
test_113,"Jack shows off his new, expensive, fast car to Daisy."
test_114,The big fire broke out around 10 o'clock at night.
test_115,A couple pays for their purchase with a credit card after realizing they don't have enough cash.
test_116,"Person 2 agrees to a regular car wash package including exterior wash, window cleaning, and interior vacuuming."
test_117,Harry and his wife are considering a holiday to Egypt but are unsure due to various responsibilities at home.
test_118,"New gym member learns how to use machines and track progress, but gets exhausted before completing all machines."
test_119,Two friends discuss job loss and potential opportunities in an electrician program.
test_120,"Person 2 fed the puppies and will bathe them, and remember their vet appointment on Saturday at 11am."
test_121,"Ayden loans $20 to a friend who can't pay rent, and is invited to dinner as a thank you."
test_122,"Person 2 worked in a charity organization for two months, which positively impacted their perspective and temperament."
test_123,Person 2 provides contact details and asks when a decision will be made; Person 1 responds with a week.
test_124,"Person 1 requests Chinese wine recommendation and food pairing, Person 2 suggests Moutan and Roast Beijing Duck."
test_125,"Angela reminds Dan about a wedding next week and asks him to invite Megan, planning to drive together."
test_126,"Two friends enjoy trying different desserts, including Greek yogurt, tiramisu, and fried bananas."
test_127,"Mr. Smith, a 27-year-old Yale graduate in Economics, has worked in a bank for five years earning $500 weekly."
test_128,"Person1 decides to buy a Barbie doll for his niece from Person2's shop for $32.42, paying in cash."
test_129,Person 2 buys size 41 Jordan sports shoes on sale.
test_130,"Person1 gets lost and needs help to reach the science museum, Person2 assists with ticket machine and directions."
test_131,"Simon enjoys retirement, spending time with family and traveling, but also works part-time through a phased retirement scheme with his former company."
test_132,Two friends discuss their differing views on ideal women and household responsibilities at a party.
test_133,"Last night's storm caused damage, breaking windows and bringing down tree branches, but also marked the onset of spring."
test_134,"Person1 wants to watch TV together, but Person2 finds it boring and prefers other activities like music."
test_135,Ben is nervous about starting at a new school and learns about the daily schedule from a friend.
test_136,Adam's knee is better; he'll review Michigan's game films and rest for Saturday's basketball match.
test_137,Person1 asks Person2 to print and edit a document due to a broken printer.
test_138,"Person1 asks Person2 for help in hanging a curtain, and Person2 agrees to do it."
test_139,Jack is available for a camping trip the weekend after next.
test_140,"A couple reconciles, discovers a pregnancy, but the man realizes he's not the father due to timing."
test_141,"Person 2 is worried about their daughter's indecisiveness about college, Person 1 advises letting her decide independently."
test_142,"Person1 fears job loss due to a mistake, but Person2 offers reassurance and a potential place to stay, prompting Person1 to reconsider their lifestyle."
test_143,"Person 2's friend from the UK, a Ph.D. student, is visiting and will give a speech on multimodal text generation."
test_144,"Person2 declines invitation to John's house due to feeling unwell, possibly from a sick co-worker."
test_145,Mr. Faber booked a double room at York Hotel for three nights.
test_146,"Person 1 is seeking a cheap single-room flat in West Derby, closer to their office, and plans to contact John Godfrey for assistance."
test_147,Two people argue over who is to blame for getting lost and stopped by the police.
test_148,Order of 100 computers delayed due to factory staff shortage; new delivery date is the eighteenth of September.
test_149,"The Washington Post was founded in 1877, the New York Times in 1851, and the Los Angeles Times in 1881."
test_150,Person 1 helps Person 2 solve an email issue caused by an oversized attachment.
test_151,"Person1 invites Person2 for a weekend stay in Changsha, which Person2 thoroughly enjoys."
test_152,Person 1 decides to get Chinese food from Panda Express after a suggestion from Person 2.
test_153,Tom pleads with Marry to reconsider her decision not to hire him for a sales position at Hans furniture store.
test_154,Person1 threatens to report a persistent silent caller to the police.
test_155,"Person 2 interviews Person 1 for a music teacher position, discussing their qualifications, love for music, and the benefits of classical music."
test_156,"Person 2 meets and falls for his single, American neighbor and plans to ask her out, despite competition from other men."
test_157,"Mirella's casual attire at work, influenced by Silicon Valley's relaxed culture, prompts management to subtly express disapproval by gifting her formal dresses."
test_158,Person2 plans to open their own law office and Person1 offers help and wishes them success.
test_159,Peter spent the night online listening to music and now needs rest.
test_160,"Despite advancements in transportation, most transoceanic cargo is still transported by boat."
test_161,"Fanny shares her nightmare and university admission worries with Andy, who offers reassurance."
test_162,"Two students, Ernie and his friend, plan to start a band playing Vanilla Ice songs."
test_163,Person1 and Person2 plan to attend a show at the Sanger Theater in New Orleans.
test_164,Person1 purchases an item using a credit card after confirming its fit.
test_165,Blake will deliver Foster's training manuals to his office tomorrow afternoon as they are currently being copied.
test_166,Person 2 is planning a four-day road trip to Salt Lake City for a family birthday celebration.
test_167,Person1 is leaving on a flight and asks Person2 to look after Pamela in his absence.
test_168,Person 1 asks Person 2 for directions to the city's busiest street and which bus to take.
test_169,"The conversation discusses the significance of religious pilgrimages, focusing on the Islamic Hajj to Mecca and its associated risks."
test_170,A lost stranger asks for directions to the central department stall and national bank.
test_171,"Person1 invites Person2 to London, they discuss travel preferences; Person1 prefers train, Person2 prefers car, and suggests express bus."
test_172,"Tom had a bad lunch experience due to a crowded food station and undercooked chicken, while Catherine enjoyed her homemade meal."
