TestID,Summary
test_0,"Person1 asks Person2 to take a dictation for an intra-office memorandum that will be sent to all employees by the afternoon. Person1 informs that all office communications will now be restricted to email and official memos, and the use of Instant Message programs during working hours is strictly prohibited. Person2 asks if this restriction applies to external communications as well, to which Person1 confirms that it applies to all communications. Person2 raises concerns about employees using Instant Messaging to communicate with clients, but Person1 insists on changing communication methods and not allowing Instant Messaging in the office. Person1 instructs Person2 to continue with the memo, stating that the new policy will result in a warning and probation for employees who persist in using Instant Messaging, and termination for a second offense. Person2 asks if there is anything else, and Person1 instructs them to type up and distribute the memo to all employees before 4 pm."
test_1,"Person1 is happy that Person2 has finally arrived and asks why they took so long. Person2 explains that they got stuck in traffic near the Carrefour intersection. Person1 suggests that Person2 should find a different route to avoid the congestion. Person2 doesn't think it's possible to avoid the traffic. Person1 then suggests that Person2 should consider taking public transport to work, which Person2 agrees is a good idea. They both acknowledge that it would be better for the environment. Person1 also mentions that taking the subway would be less stressful than driving. Person2 admits that they will miss the freedom of having a car, but agrees that biking to work when the weather is nice could provide a similar sense of freedom. Person1 asks if Person2 is going to quit driving to work, and Person2 confirms that they will because it's not good for them or the environment."
test_2,"Kate tells Person2 that Masha and Hero are getting divorced. Person2 is surprised and asks what happened. Kate explains that she doesn't know the details, but she heard that they have been separated for 2 months and have filed for divorce. Person2 is shocked and wonders about the custody of their kids. Kate says that Masha seems calm and reasonable, and there doesn't seem to be any fighting over assets or other details. Person2 comments on how unexpected this is, as they always thought Masha and Hero were a perfect couple. Person2 asks when the divorce will be final, and Kate speculates that it will be early in the New Year."
test_3,Person1 wishes Person2 a happy birthday and gives them a gift. Person2 is happy and invites Person1 to join the party. Person1 asks Person2 for a dance and they agree. Person1 compliments the party and Person2's popularity. Person1 also mentions their appearance and receives compliments from Person2. Person1 suggests having a drink together to celebrate Person2's birthday.
test_4,"The conversation takes place in an Olympic park, with Person 1 expressing admiration for its size. Person 2 confirms that they are currently in the Olympic stadium, which is the center of the park. Person 1 asks when the stadium will be finished, and Person 2 responds that it will be completed in June. Person 1 is surprised by the size of the stadium, and Person 2 mentions that there are 5000 seats in total. Person 1 comments on the tracks and jumping pit, and notices a sign prohibiting climbing. Person 2 explains that they have placed signs with English translations for foreign visitors."
test_5,"Person1 is frustrated with their current job and expresses their intention to quit and start their own company. Person2 questions if they have ever written a business plan before, to which Person1 admits they haven't but believes it can't be that difficult. Person2 explains that a well-written business plan includes an executive summary, company description, goods/services description, market analysis, strategy and implementation, and financial analysis. Person1 realizes the complexity involved and decides to stick with their current job instead of starting a business."
test_6,"Person1 asks Person2 why they are scratching so much. Person2 explains that they feel itchy and may be coming down with something, feeling lightheaded and weak. Person1 takes a look and realizes that Person2 may have chicken pox and tells them to stay away as it is contagious. Person2 suggests that it may just be a rash or allergy and they should see a doctor to be sure. Person1 expresses concern about not having had chicken pox before and the potential dangers of getting it as an adult. Person2 dismisses Person1's worries and decides to take an oatmeal bath."
test_7,Person1 greets Person2 and asks how they can assist. Person2 informs Person1 that they are checking out of Room 309 and requests their bill. Person1 retrieves the bill and gives it to Person2. Person2 notices a charge of $30 and questions it. Person1 explains that it is for laundry service on November 20th. Person2 denies using any laundry service and suggests that the charge may belong to someone else. Person1 apologizes and asks for a moment to investigate. Person2 agrees and emphasizes the importance of resolving the issue. Person1 returns and admits that there was a mistake. They present the corrected bill to Person2. Person2 accepts it and says goodbye to Person1.
test_8,"Person1, Steven, seeks help from Person2. Person1 confesses to having an affair with their secretary, which has led their wife to file for divorce. Person2 expresses disbelief and questions how Person1 could cheat on their wife after being married for ten years. Person1 admits their wrongdoing and claims that the affair only lasted for two months. They also express their love for their wife and their inability to live without her. Person2 promises to try their best to convince the wife to reconsider the divorce but asks if Person1 can guarantee their faithfulness in the future. Person1 swears that they will be faithful."
test_9,"In the conversation, Person1 and Person2 discuss a person of sound character. Person2 mentions Abraham Lincoln as someone who stands out in their mind. Person1 recalls that Lincoln was the US president who walked five miles just to give a lady her change. Person2 agrees and adds that Lincoln was also famous for never giving up on his goals. Person1 mentions that Lincoln ran for office multiple times before being elected and admires him for his courage in fighting for equal rights. Person2 agrees and mentions Lincoln's great vision and humility, expressing a desire to have met him personally."
