TestID,Summary
FR_20091112_RATP_SCD_0826,"Le client appelle pour obtenir des horaires de train pour la ligne RER de Meaux à Paris. Il demande les horaires pour un départ aux environs de 17 heures. L'agent recherche les horaires et lui donne deux options : un départ à 16h49 et un autre à 17h19. Le client remercie l'agent et l'appel se termine.

Le problème principal de l'appel est la demande des horaires de train pour la ligne RER de Meaux à Paris. Les sous-problèmes incluent la spécification de l'heure de départ et la recherche des horaires correspondants. L'appel est résolu car l'agent fournit les horaires demandés."
FR_20091112_RATP_SCD_0765,"Un client appelle pour demander de l'aide concernant une amende qu'un de ses collègues a reçue de la RATP pour avoir voyagé sans sa carte Navigo. Le client estime que l'amende est injuste car sa collègue avait perdu sa carte et ne pouvait pas la présenter lors du contrôle. L'agent explique que c'est normal de recevoir une amende dans ce cas, tout comme on reçoit une contravention si on oublie son permis de conduire lors d'un contrôle de police. Le client insiste sur le fait que l'amende est trop élevée et demande une solution. L'agent suggère que la collègue se rende au bureau de la RATP avec le PV et sa carte Navigo pour régler la situation. Le client exprime son mécontentement quant à la difficulté de se rendre au bureau de la RATP pendant les heures de travail. L'agent explique que le bureau est ouvert du lundi au samedi, mais qu'il n'est plus possible de les contacter par téléphone. Le client demande alors s'il est possible d'envoyer un courrier avec les documents nécessaires. L'agent confirme que c'est possible et donne l'adresse à laquelle envoyer le courrier. Le client demande quels documents doivent être inclus dans le courrier, et l'agent précise qu'il faut envoyer l'original du PV, une photocopie de la carte Navigo et une lettre explicative. Le client remercie l'agent et met fin à l'appel. 

Le problème principal de l'appel est l'amende reçue par la collègue du client pour avoir voyagé sans sa carte Navigo. Les sous-problèmes incluent la difficulté de se rendre au bureau de la RATP pour régler la situation et les documents nécessaires à fournir. La résolution de l'appel n'est pas claire, car il n'est pas précisé si le problème du client a été résolu au cours de cet appel."
FR_20091112_RATP_SCD_0268,"Un client appelle pour obtenir des informations sur la carte Imagine+R et demande si un dossier peut lui être envoyé pour faire une demande de carte. L'agent explique que les dossiers ne sont pas envoyés par courrier, mais sont disponibles dans tous les guichets. Le client indique qu'elle préfère recevoir le numéro de téléphone du service Imagine+R pour les contacter. L'agent donne le numéro de téléphone et le client le note. L'appel se termine avec des remerciements et des salutations.

Le problème principal de l'appel est la demande d'informations sur la carte Imagine+R et la possibilité d'obtenir un dossier pour faire une demande de carte. Les sous-problèmes incluent la disponibilité des dossiers dans les guichets et la demande du numéro de téléphone du service Imagine+R.

L'appel n'a pas résolu le problème du client, car il n'a pas reçu de dossier pour faire une demande de carte."
FR_20091112_RATP_SCD_0346,"Résumé :

Le client appelle pour demander des indications pour se rendre du 37 boulevard de Charonne au 64 rue de Belleville. L'agent confirme l'adresse de destination et propose d'utiliser le métro. L'agent recommande de prendre la ligne 2 en direction de Porte Dauphine et de descendre à la station Couronne. Une fois sorti de la station, le client trouvera une sortie qui mène au boulevard de Belleville, où se trouve le numéro 64. Le client confirme qu'il suivra ces indications. L'appel se termine avec les remerciements du client et les salutations de l'agent. Le problème principal de l'appel est la demande d'indications pour se rendre à une adresse spécifique. Le sous-problème est la confirmation de l'adresse de destination et les détails sur l'itinéraire à suivre. L'appel est résolu avec succès, car le client a reçu les informations nécessaires pour se rendre à sa destination."
FR_20091112_RATP_SCD_0761,"Le client appelle pour demander le renouvellement de son contrat de carte Navigo. L'agent explique que cela doit être fait en agence et propose de donner le numéro du gestionnaire de la carte Intégrale. Le client accepte et note le numéro. L'appel se termine avec des salutations cordiales. 

Le problème principal de l'appel est le renouvellement du contrat de la carte Navigo. Le sous-problème est la demande d'une attestation de renouvellement. 

La résolution de l'appel n'est pas claire, car l'agent propose de contacter le gestionnaire de la carte Intégrale, mais il n'est pas précisé si cela résoudra le problème du client."
FR_20091112_RATP_SCD_0756,"Le client (Spk_C) appelle pour demander des informations sur la compensation et l'indemnisation suite aux grèves récentes. L'agent (Spk_B) explique que pour le moment, il n'y a pas encore de note officielle concernant le remboursement ou la compensation. Le client accepte d'attendre et remercie l'agent avant de raccrocher.

Le problème principal de l'appel est la demande d'informations sur la compensation et l'indemnisation suite aux grèves. Le sous-problème est l'absence d'informations officielles à ce sujet.

L'appel n'a pas résolu le problème du client, car l'agent n'a pas pu fournir d'informations concrètes sur la compensation ou l'indemnisation."
FR_20091112_RATP_SCD_0503,"Le client, Mme C, appelle le centre d'appels pour demander des indications sur la façon de se rendre à la Gare de Lyon depuis Clichy-la-Garenne. L'agent, M. B, lui demande plus de détails sur son point de départ à Clichy et Mme C mentionne qu'elle se trouve sur la ligne treize. M. B lui explique alors qu'elle doit prendre le métro treize en direction de Châtillon et descendre à Saint-Lazare. Ensuite, elle doit prendre le métro quatorze en direction d'Olympiades jusqu'à la Gare de Lyon. Mme C demande si elle peut également prendre le train, mais M. B lui explique que ce n'est pas possible. Finalement, Mme C remercie M. B et lui souhaite une bonne journée. Le problème principal de l'appel est de trouver des indications pour se rendre à la Gare de Lyon depuis Clichy-la-Garenne. Le sous-problème est de savoir quelles lignes de transport utiliser. L'appel est résolu car Mme C a obtenu les informations nécessaires pour se rendre à sa destination."
FR_20091112_RATP_SCD_0779,Le client appelle pour demander une attestation d'abonnement afin de pouvoir se faire rembourser la moitié de son abonnement par son employeur. L'agent propose deux options : se rendre directement dans une agence commerciale ou contacter le service client par téléphone. Le client choisit de contacter le service client par téléphone et l'agent lui communique le numéro. L'appel se termine avec des remerciements et des salutations de part et d'autre. Le problème principal de l'appel est la demande d'attestation d'abonnement. Le sous-problème est la recherche de l'option la plus pratique pour obtenir cette attestation. L'appel est résolu car le client a obtenu les informations nécessaires pour obtenir son attestation.
FR_20091112_RATP_SCD_0870,"Résumé :

Le client appelle pour obtenir des informations sur les réductions dont il peut bénéficier en tant que conjoint d'un employé de la RATP. L'agent explique que le conjoint peut bénéficier d'une réduction de 50% sur les titres de transport en faisant une demande auprès du service administratif de l'employé. Cependant, cette réduction ne s'applique qu'aux carnets de tickets et non aux cartes Orange. Le problème principal de l'appel est donc de savoir si le conjoint peut bénéficier d'une réduction sur les titres de transport. Le sous-problème est de savoir si cette réduction s'applique également aux cartes Orange. L'appel est résolu car le client obtient les informations demandées."
FR_20091112_RATP_SCD_0905,"Résumé :

Le client appelle pour demander quel métro prendre pour se rendre au 30 rue de Reuilly depuis la Porte de Vincennes. Le client précise que la rue de Reuilly se trouve dans le 12ème arrondissement. L'agent recherche la station de métro la plus proche et informe le client qu'il doit descendre à la station Reuilly-Diderot, sur la ligne 8 ou une autre ligne. Le client demande s'il y a une sortie rue de Reuilly et l'agent vérifie. L'agent explique que la rue de Reuilly est à l'intersection des sorties de métro et qu'il suffit de traverser le boulevard Diderot pour y accéder. Le client remercie l'agent et l'appel se termine.

Problème principal de l'appel : Demande d'informations sur le métro à prendre pour se rendre à la rue de Reuilly.
Sous-problèmes de l'appel : Localisation de la rue de Reuilly, recherche de la station de métro la plus proche, existence d'une sortie rue de Reuilly.
Résolution de l'appel : Le problème du client a été résolu au cours de cet appel."
